month,branch,category,budget_amount_aed,currency,fiscal_year,quarter
2024-03,Abu Dhabi-Mussafah,Overhead,39000,AED,2024,Q1
2024-04,Abu Dhabi-Mussafah,Overhead,39000,AED,2024,Q2
2024-05,Abu Dhabi-Mussafah,Overhead,39000,AED,2024,Q2
2024-06,Abu Dhabi-Mussafah,Overhead,39000,AED,2024,Q2
2024-07,Abu Dhabi-Mussafah,Overhead,40809.65,AED,2024,Q3
2024-08,Abu Dhabi-Mussafah,Overhead,40386.28,AED,2024,Q3
2024-09,Abu Dhabi-Mussafah,Overhead,41304.41,AED,2024,Q3
2024-10,Abu Dhabi-Mussafah,Overhead,41076.91,AED,2024,Q4
2024-11,Abu Dhabi-Mussafah,Overhead,41269.21,AED,2024,Q4
2024-12,Abu Dhabi-Mussafah,Overhead,41216.95,AED,2024,Q4
2024-01,Abu Dhabi-Mussafah,Marketing,9360,AED,2024,Q1
2024-02,Abu Dhabi-Mussafah,Marketing,11232,AED,2024,Q1
2024-03,Abu Dhabi-Mussafah,Marketing,22464,AED,2024,Q1
2024-04,Abu Dhabi-Mussafah,Marketing,18720,AED,2024,Q2
2024-05,Abu Dhabi-Mussafah,Marketing,14976,AED,2024,Q2
2024-06,Abu Dhabi-Mussafah,Marketing,13104,AED,2024,Q2
2024-07,Abu Dhabi-Mussafah,Marketing,11770.43,AED,2024,Q3
2024-08,Abu Dhabi-Mussafah,Marketing,11879.59,AED,2024,Q3
2024-09,Abu Dhabi-Mussafah,Marketing,19331.3,AED,2024,Q3
2024-10,Abu Dhabi-Mussafah,Marketing,23270,AED,2024,Q4
2024-11,Abu Dhabi-Mussafah,Marketing,19307,AED,2024,Q4
2024-12,Abu Dhabi-Mussafah,Marketing,15571.44,AED,2024,Q4
2024-01,Sharjah-Industrial,Revenue,184800,AED,2024,Q1
2024-02,Sharjah-Industrial,Revenue,211200,AED,2024,Q1
2024-03,Sharjah-Industrial,Revenue,264000,AED,2024,Q1
2024-04,Sharjah-Industrial,Revenue,264000,AED,2024,Q2
2024-05,Sharjah-Industrial,Revenue,237600,AED,2024,Q2
2024-06,Sharjah-Industrial,Revenue,211200,AED,2024,Q2
2024-07,Sharjah-Industrial,Revenue,192498.83,AED,2024,Q3
2024-08,Sharjah-Industrial,Revenue,191848.36,AED,2024,Q3
2024-09,Sharjah-Industrial,Revenue,222786.88,AED,2024,Q3
2024-10,Sharjah-Industrial,Revenue,247270.94,AED,2024,Q4
2024-11,Sharjah-Industrial,Revenue,246730.5,AED,2024,Q4
2024-12,Sharjah-Industrial,Revenue,220974.52,AED,2024,Q4
2024-01,Sharjah-Industrial,Labour Cost,55440,AED,2024,Q1
2024-02,Sharjah-Industrial,Labour Cost,63360,AED,2024,Q1
2024-03,Sharjah-Industrial,Labour Cost,71280,AED,2024,Q1
2024-04,Sharjah-Industrial,Labour Cost,71280,AED,2024,Q2
2024-05,Sharjah-Industrial,Labour Cost,71280,AED,2024,Q2
2024-06,Sharjah-Industrial,Labour Cost,71280,AED,2024,Q2
2024-07,Sharjah-Industrial,Labour Cost,81910.84,AED,2024,Q3
2024-08,Sharjah-Industrial,Labour Cost,83482.02,AED,2024,Q3
2024-09,Sharjah-Industrial,Labour Cost,65402.51,AED,2024,Q3
2024-10,Sharjah-Industrial,Labour Cost,67136.67,AED,2024,Q4
2024-11,Sharjah-Industrial,Labour Cost,58387.6,AED,2024,Q4
2024-12,Sharjah-Industrial,Labour Cost,49228.89,AED,2024,Q4
2024-01,Sharjah-Industrial,Parts & Materials,41580,AED,2024,Q1
2024-02,Sharjah-Industrial,Parts & Materials,47520,AED,2024,Q1
2024-03,Sharjah-Industrial,Parts & Materials,53460,AED,2024,Q1
2024-04,Sharjah-Industrial,Parts & Materials,53460,AED,2024,Q2
2024-05,Sharjah-Industrial,Parts & Materials,53460,AED,2024,Q2
2024-06,Sharjah-Industrial,Parts & Materials,53460,AED,2024,Q2
2024-07,Sharjah-Industrial,Parts & Materials,61191.84,AED,2024,Q3
2024-08,Sharjah-Industrial,Parts & Materials,62635.15,AED,2024,Q3
2024-09,Sharjah-Industrial,Parts & Materials,49953.3,AED,2024,Q3
2024-10,Sharjah-Industrial,Parts & Materials,49984.87,AED,2024,Q4
2024-11,Sharjah-Industrial,Parts & Materials,43789.48,AED,2024,Q4
2024-12,Sharjah-Industrial,Parts & Materials,36788.37,AED,2024,Q4
2024-01,Sharjah-Industrial,Overhead,27500,AED,2024,Q1
2024-02,Sharjah-Industrial,Overhead,27500,AED,2024,Q1
2024-03,Sharjah-Industrial,Overhead,27500,AED,2024,Q1
2024-04,Sharjah-Industrial,Overhead,27500,AED,2024,Q2
2024-05,Sharjah-Industrial,Overhead,27500,AED,2024,Q2
2024-06,Sharjah-Industrial,Overhead,27500,AED,2024,Q2
2024-07,Sharjah-Industrial,Overhead,28620.73,AED,2024,Q3
2024-08,Sharjah-Industrial,Overhead,28420.59,AED,2024,Q3
2024-09,Sharjah-Industrial,Overhead,29037.06,AED,2024,Q3
2024-10,Sharjah-Industrial,Overhead,28839.22,AED,2024,Q4
2024-11,Sharjah-Industrial,Overhead,28597.99,AED,2024,Q4
2024-12,Sharjah-Industrial,Overhead,28377.44,AED,2024,Q4
2024-01,Sharjah-Industrial,Marketing,6600,AED,2024,Q1
2024-02,Sharjah-Industrial,Marketing,7920,AED,2024,Q1
2024-03,Sharjah-Industrial,Marketing,15840,AED,2024,Q1
2024-04,Sharjah-Industrial,Marketing,13200,AED,2024,Q2
2024-05,Sharjah-Industrial,Marketing,10560,AED,2024,Q2
2024-06,Sharjah-Industrial,Marketing,9240,AED,2024,Q2
2024-07,Sharjah-Industrial,Marketing,8231.49,AED,2024,Q3
2024-08,Sharjah-Industrial,Marketing,8234.86,AED,2024,Q3
2024-09,Sharjah-Industrial,Marketing,13884.92,AED,2024,Q3
2024-10,Sharjah-Industrial,Marketing,16618.17,AED,2024,Q4
2024-11,Sharjah-Industrial,Marketing,13947.34,AED,2024,Q4
2024-12,Sharjah-Industrial,Marketing,11026.4,AED,2024,Q4
