transaction_id,date,time,branch,service_type,total_amount_aed,parts_cost_aed,labour_cost_aed,payment_method,status,month,quarter,day_of_week
TXN-001058,1/4/2024,11:50,Dubai-Al Quoz,Suspension Repair,797.12,332.47,464.65,Cash,Completed,2024-01,Q1,Thursday
TXN-001059,1/4/2024,11:31,Dubai-Al Quoz,Detailing,403.36,135.63,267.73,Card,Completed,2024-01,Q1,Thursday
TXN-001060,1/4/2024,16:15,Dubai-Al Quoz,Oil Change,197.49,61.81,135.68,Cash,Completed,2024-01,Q1,Thursday
TXN-001061,1/4/2024,12:43,Dubai-Al Quoz,Oil Change,174.58,67.29,107.29,Online,Completed,2024-01,Q1,Thursday
TXN-001062,1/4/2024,19:30,Dubai-Al Quoz,Battery Replacement,345.47,149.22,196.25,Corporate Account,Completed,2024-01,Q1,Thursday
TXN-001063,1/4/2024,11:44,Dubai-Al Quoz,Detailing,433.22,191.3,241.92,Corporate Account,Completed,2024-01,Q1,Thursday
TXN-001064,1/4/2024,8:17,Dubai-Al Quoz,AC Service,376.58,139.05,237.53,Card,Completed,2024-01,Q1,Thursday
TXN-001065,1/4/2024,16:45,Dubai-Al Quoz,AC Service,378.34,160.17,218.17,Card,Completed,2024-01,Q1,Thursday
TXN-001066,1/4/2024,11:47,Dubai-Al Quoz,Tyre Replacement,921.36,311.33,610.03,Cash,Completed,2024-01,Q1,Thursday
TXN-001067,1/4/2024,10:11,Dubai-Al Quoz,Oil Change,176.86,70.2,106.66,Card,Completed,2024-01,Q1,Thursday
TXN-001068,1/4/2024,11:16,Dubai-Al Quoz,Oil Change,195.59,78.48,117.11,Card,Completed,2024-01,Q1,Thursday
TXN-001069,1/5/2024,9:29,Dubai-Al Quoz,Suspension Repair,845.51,358.63,486.88,Card,Completed,2024-01,Q1,Friday
TXN-001070,1/5/2024,11:45,Dubai-Al Quoz,Full Service,733.81,236.45,497.36,Card,Completed,2024-01,Q1,Friday
TXN-001071,1/5/2024,15:12,Dubai-Al Quoz,Oil Change,167.9,50.91,116.99,Card,Completed,2024-01,Q1,Friday
TXN-001072,1/5/2024,19:32,Dubai-Al Quoz,Brake Service,489.28,155.43,333.85,Cash,Completed,2024-01,Q1,Friday
TXN-001073,1/5/2024,8:40,Dubai-Al Quoz,Oil Change,183.01,74.81,108.2,Card,Completed,2024-01,Q1,Friday
TXN-001074,1/5/2024,9:00,Dubai-Al Quoz,Full Service,820.19,291.04,529.15,Card,Completed,2024-01,Q1,Friday
TXN-001075,1/5/2024,18:29,Dubai-Al Quoz,Tyre Replacement,896.17,390.19,505.98,Card,Completed,2024-01,Q1,Friday
TXN-001076,1/5/2024,9:47,Dubai-Al Quoz,Full Service,738.42,283.4,455.02,Card,Completed,2024-01,Q1,Friday
TXN-001077,1/5/2024,16:49,Dubai-Al Quoz,Detailing,406.75,178.97,227.78,Online,Completed,2024-01,Q1,Friday
TXN-001078,1/6/2024,11:16,Dubai-Al Quoz,Full Service,735.4,257.67,477.73,Card,Completed,2024-01,Q1,Saturday
TXN-001079,1/6/2024,13:57,Dubai-Al Quoz,Tyre Replacement,914.92,305.57,609.35,Card,Completed,2024-01,Q1,Saturday
TXN-001080,1/6/2024,10:19,Dubai-Al Quoz,Oil Change,172.75,61.43,111.32,Card,Completed,2024-01,Q1,Saturday
TXN-001081,1/6/2024,19:37,Dubai-Al Quoz,Engine Overhaul,3201.67,1046.35,2155.32,Corporate Account,Completed,2024-01,Q1,Saturday
TXN-001082,1/6/2024,8:46,Dubai-Al Quoz,Detailing,419,170.82,248.18,Online,Completed,2024-01,Q1,Saturday
TXN-001083,1/6/2024,10:16,Dubai-Al Quoz,Tyre Replacement,0,0,0,Card,Void,2024-01,Q1,Saturday
TXN-001084,1/6/2024,12:39,Dubai-Al Quoz,Full Service,794.25,244.58,549.67,Cash,Completed,2024-01,Q1,Saturday
TXN-001085,1/6/2024,15:18,Dubai-Al Quoz,Tyre Replacement,847.51,291.39,556.12,Card,Completed,2024-01,Q1,Saturday
TXN-001086,1/7/2024,16:08,Dubai-Al Quoz,Oil Change,181.12,73.98,107.14,Online,Completed,2024-01,Q1,Sunday
TXN-001087,1/7/2024,16:49,Dubai-Al Quoz,Full Service,711.83,306.59,405.24,Cash,Completed,2024-01,Q1,Sunday
TXN-001088,1/7/2024,12:48,Dubai-Al Quoz,Oil Change,171.57,52.36,119.21,Cash,Completed,2024-01,Q1,Sunday
TXN-001089,1/7/2024,12:54,Dubai-Al Quoz,Oil Change,177.68,74.43,103.25,Card,Completed,2024-01,Q1,Sunday
TXN-001090,1/7/2024,14:14,Dubai-Al Quoz,Full Service,728.68,313.42,415.26,Card,Completed,2024-01,Q1,Sunday
TXN-001091,1/7/2024,18:09,Dubai-Al Quoz,Battery Replacement,293.37,112.13,181.24,Cash,Completed,2024-01,Q1,Sunday
TXN-001092,1/7/2024,8:57,Dubai-Al Quoz,Tyre Replacement,916.44,347.07,569.37,Cash,Completed,2024-01,Q1,Sunday
TXN-001093,1/7/2024,9:00,Dubai-Al Quoz,Oil Change,167.16,66.08,101.08,Card,Completed,2024-01,Q1,Sunday
TXN-001094,1/7/2024,17:06,Dubai-Al Quoz,Full Service,779.58,319.68,459.9,Online,Completed,2024-01,Q1,Sunday
TXN-001095,1/7/2024,9:45,Dubai-Al Quoz,Full Service,707.46,261.99,445.47,Card,Completed,2024-01,Q1,Sunday
TXN-001096,1/7/2024,10:35,Dubai-Al Quoz,Wheel Alignment,142.61,50.09,92.52,Online,Completed,2024-01,Q1,Sunday
TXN-001097,1/7/2024,10:08,Dubai-Al Quoz,AC Service,383.48,159.88,223.6,Card,Completed,2024-01,Q1,Sunday
TXN-001098,1/7/2024,9:31,Dubai-Al Quoz,Oil Change,176.76,68.22,108.54,Card,Completed,2024-01,Q1,Sunday
TXN-001099,1/7/2024,16:34,Dubai-Al Quoz,Oil Change,176.97,54.63,122.34,Card,Completed,2024-01,Q1,Sunday
TXN-001100,1/7/2024,9:18,Dubai-Al Quoz,Engine Diagnostics,184.65,64.6,120.05,Card,Completed,2024-01,Q1,Sunday
TXN-001101,1/7/2024,12:01,Dubai-Al Quoz,Full Service,791.45,249.39,542.06,Card,Completed,2024-01,Q1,Sunday
TXN-001102,1/7/2024,17:34,Dubai-Al Quoz,Tyre Replacement,974.91,412.59,562.32,Card,Completed,2024-01,Q1,Sunday
TXN-001103,1/7/2024,16:43,Dubai-Al Quoz,Oil Change,187.92,62.94,124.98,Online,Completed,2024-01,Q1,Sunday
TXN-001104,1/7/2024,9:10,Dubai-Al Quoz,Battery Replacement,346.43,118.72,227.71,Card,Completed,2024-01,Q1,Sunday
TXN-001105,1/7/2024,17:05,Dubai-Al Quoz,Oil Change,173.66,55.84,117.82,Card,Completed,2024-01,Q1,Sunday
TXN-001106,1/7/2024,9:21,Dubai-Al Quoz,Oil Change,172.85,68.19,104.66,Card,Completed,2024-01,Q1,Sunday
TXN-001107,1/8/2024,17:13,Dubai-Al Quoz,AC Service,372.03,159.89,212.14,Card,Completed,2024-01,Q1,Monday
TXN-001108,1/8/2024,8:39,Dubai-Al Quoz,Full Service,706.46,246.66,459.8,Cash,Completed,2024-01,Q1,Monday
TXN-001109,1/8/2024,9:08,Dubai-Al Quoz,Brake Service,474.13,177.43,296.7,Card,Completed,2024-01,Q1,Monday
TXN-001110,1/8/2024,18:39,Dubai-Al Quoz,Full Service,782.65,328.23,454.42,Cash,Completed,2024-01,Q1,Monday
TXN-001111,1/8/2024,17:58,Dubai-Al Quoz,Engine Diagnostics,200.8,68.05,132.75,Card,Completed,2024-01,Q1,Monday
TXN-001112,1/8/2024,15:38,Dubai-Al Quoz,Full Service,724.69,224.66,500.03,Card,Completed,2024-01,Q1,Monday
TXN-001113,1/8/2024,10:35,Dubai-Al Quoz,Oil Change,182.74,77.27,105.47,Cash,Completed,2024-01,Q1,Monday
TXN-001114,1/8/2024,15:11,Dubai-Al Quoz,Brake Service,487.56,176.04,311.52,Card,Completed,2024-01,Q1,Monday
TXN-001115,1/8/2024,10:16,Dubai-Al Quoz,Battery Replacement,344.65,127.75,216.9,Cash,Completed,2024-01,Q1,Monday
TXN-001116,1/8/2024,13:07,Dubai-Al Quoz,AC Service,326.8,115.73,211.07,Online,Completed,2024-01,Q1,Monday
TXN-001117,1/8/2024,16:08,Dubai-Al Quoz,Tyre Replacement,963.47,371.59,591.88,Online,Completed,2024-01,Q1,Monday
TXN-001118,1/8/2024,16:05,Dubai-Al Quoz,Oil Change,190.11,74.71,115.4,Cash,Completed,2024-01,Q1,Monday
TXN-001119,1/8/2024,10:38,Dubai-Al Quoz,Wheel Alignment,164.62,72.48,92.14,Card,Completed,2024-01,Q1,Monday
TXN-001120,1/8/2024,8:33,Dubai-Al Quoz,Battery Replacement,307.42,102.64,204.78,Card,Completed,2024-01,Q1,Monday
TXN-001121,1/8/2024,16:19,Dubai-Al Quoz,Oil Change,163.92,67.29,96.63,Cash,Completed,2024-01,Q1,Monday
TXN-001122,1/8/2024,11:16,Dubai-Al Quoz,Oil Change,176.43,74.14,102.29,Online,Completed,2024-01,Q1,Monday
TXN-001123,1/8/2024,12:42,Dubai-Al Quoz,Oil Change,186.21,62.49,123.72,Card,Completed,2024-01,Q1,Monday
TXN-001124,1/8/2024,12:09,Dubai-Al Quoz,Detailing,387.21,155.9,231.31,Card,Completed,2024-01,Q1,Monday
TXN-001125,1/8/2024,11:48,Dubai-Al Quoz,Oil Change,179.25,80.23,99.02,Card,Completed,2024-01,Q1,Monday
TXN-001126,1/8/2024,17:30,Dubai-Al Quoz,Engine Diagnostics,197.97,77.35,120.62,Card,Completed,2024-01,Q1,Monday
TXN-001127,1/8/2024,14:16,Dubai-Al Quoz,Oil Change,167.77,56.31,111.46,Online,Completed,2024-01,Q1,Monday
TXN-001128,1/8/2024,14:06,Dubai-Al Quoz,Full Service,712.46,241.54,470.92,Corporate Account,Completed,2024-01,Q1,Monday
TXN-001129,1/9/2024,10:15,Dubai-Al Quoz,AC Service,354.85,114.01,240.84,Cash,Completed,2024-01,Q1,Tuesday
TXN-001130,1/9/2024,10:03,Dubai-Al Quoz,Detailing,410.15,180.54,229.61,Cash,Completed,2024-01,Q1,Tuesday
TXN-001131,1/9/2024,17:48,Dubai-Al Quoz,Full Service,803.55,295.72,507.83,Card,Completed,2024-01,Q1,Tuesday
TXN-001132,1/9/2024,9:02,Dubai-Al Quoz,AC Service,356.77,132.03,224.74,Corporate Account,Completed,2024-01,Q1,Tuesday
TXN-001133,1/9/2024,14:46,Dubai-Al Quoz,Battery Replacement,294.44,108.26,186.18,Card,Completed,2024-01,Q1,Tuesday
TXN-001134,1/9/2024,9:43,Dubai-Al Quoz,Engine Overhaul,3467.13,1363.64,2103.49,Cash,Completed,2024-01,Q1,Tuesday
TXN-001135,1/9/2024,17:22,Dubai-Al Quoz,Battery Replacement,340.11,142.46,197.65,Card,Completed,2024-01,Q1,Tuesday
TXN-001136,1/9/2024,14:32,Dubai-Al Quoz,Oil Change,174.14,69.01,105.13,Online,Completed,2024-01,Q1,Tuesday
TXN-001137,1/9/2024,19:22,Dubai-Al Quoz,AC Service,369.47,136.23,233.24,Card,Completed,2024-01,Q1,Tuesday
TXN-001138,1/9/2024,12:24,Dubai-Al Quoz,Wheel Alignment,150.17,54.28,95.89,Corporate Account,Completed,2024-01,Q1,Tuesday
TXN-001139,1/9/2024,18:10,Dubai-Al Quoz,Oil Change,179.13,64.53,114.6,Card,Completed,2024-01,Q1,Tuesday
TXN-001140,1/9/2024,16:21,Dubai-Al Quoz,Tyre Replacement,949.1,417.03,532.07,Card,Completed,2024-01,Q1,Tuesday
TXN-001141,1/9/2024,15:38,Dubai-Al Quoz,Detailing,380.32,144.9,235.42,Card,Completed,2024-01,Q1,Tuesday
TXN-001142,1/9/2024,13:11,Dubai-Al Quoz,Oil Change,174.01,61.88,112.13,Online,Completed,2024-01,Q1,Tuesday
TXN-001143,1/9/2024,13:15,Dubai-Al Quoz,Brake Service,464.44,149.25,315.19,Card,Completed,2024-01,Q1,Tuesday
TXN-001144,1/9/2024,9:05,Dubai-Al Quoz,Full Service,808.87,299.03,509.84,Cash,Completed,2024-01,Q1,Tuesday
TXN-001145,1/9/2024,13:52,Dubai-Al Quoz,Tyre Replacement,954.52,317.25,637.27,Online,Completed,2024-01,Q1,Tuesday
TXN-001146,1/9/2024,16:50,Dubai-Al Quoz,Battery Replacement,339.12,147.51,191.61,Card,Completed,2024-01,Q1,Tuesday
TXN-001147,1/9/2024,16:46,Dubai-Al Quoz,AC Service,339.17,147.27,191.9,Corporate Account,Completed,2024-01,Q1,Tuesday
TXN-001148,1/9/2024,16:26,Dubai-Al Quoz,Brake Service,412.2,167.05,245.15,Card,Completed,2024-01,Q1,Tuesday
TXN-001149,1/9/2024,8:28,Dubai-Al Quoz,Oil Change,186.52,56.32,130.2,Online,Completed,2024-01,Q1,Tuesday
TXN-001150,1/9/2024,15:18,Dubai-Al Quoz,AC Service,323.37,145.22,178.15,Online,Completed,2024-01,Q1,Tuesday
TXN-001151,1/9/2024,9:10,Dubai-Al Quoz,Oil Change,186.91,71.79,115.12,Card,Completed,2024-01,Q1,Tuesday
TXN-001152,1/9/2024,9:01,Dubai-Al Quoz,Brake Service,416.32,173.77,242.55,Online,Completed,2024-01,Q1,Tuesday
TXN-001153,1/10/2024,14:23,Dubai-Al Quoz,Oil Change,182.32,78.44,103.88,Card,Completed,2024-01,Q1,Wednesday
TXN-001154,1/10/2024,15:27,Dubai-Al Quoz,Full Service,822.24,264.48,557.76,Card,Completed,2024-01,Q1,Wednesday
TXN-001155,1/10/2024,9:39,Dubai-Al Quoz,Oil Change,194.93,72.26,122.67,Card,Completed,2024-01,Q1,Wednesday
TXN-001156,1/10/2024,10:29,Dubai-Al Quoz,Wheel Alignment,147.99,64.74,83.25,Card,Completed,2024-01,Q1,Wednesday
TXN-001157,1/10/2024,11:01,Dubai-Al Quoz,Oil Change,167.3,74.87,92.43,Card,Completed,2024-01,Q1,Wednesday
TXN-001158,1/10/2024,18:48,Dubai-Al Quoz,Brake Service,489.39,186.8,302.59,Card,Completed,2024-01,Q1,Wednesday
TXN-001159,1/10/2024,15:46,Dubai-Al Quoz,Oil Change,172.32,69.62,102.7,Cash,Completed,2024-01,Q1,Wednesday
TXN-001160,1/10/2024,10:49,Dubai-Al Quoz,Oil Change,189.45,67.9,121.55,Card,Completed,2024-01,Q1,Wednesday
TXN-001161,1/10/2024,10:24,Dubai-Al Quoz,Tyre Replacement,913.14,364.5,548.64,Cash,Completed,2024-01,Q1,Wednesday
TXN-001162,1/10/2024,9:28,Dubai-Al Quoz,Oil Change,177.67,77.15,100.52,Card,Completed,2024-01,Q1,Wednesday
TXN-001163,1/10/2024,18:10,Dubai-Al Quoz,Tyre Replacement,908.31,359.88,548.43,Online,Completed,2024-01,Q1,Wednesday
TXN-001164,1/10/2024,17:38,Dubai-Al Quoz,Full Service,780.51,306.43,474.08,Corporate Account,Completed,2024-01,Q1,Wednesday
TXN-001165,1/10/2024,11:53,Dubai-Al Quoz,Oil Change,0,0,0,Card,Void,2024-01,Q1,Wednesday
TXN-001166,1/10/2024,8:05,Dubai-Al Quoz,Oil Change,170.99,55.99,115,Card,Completed,2024-01,Q1,Wednesday
TXN-001167,1/10/2024,11:25,Dubai-Al Quoz,Oil Change,195.24,71.47,123.77,Cash,Completed,2024-01,Q1,Wednesday
TXN-001168,1/11/2024,10:34,Dubai-Al Quoz,Wheel Alignment,161.68,65.8,95.88,Cash,Completed,2024-01,Q1,Thursday
TXN-001169,1/11/2024,10:20,Dubai-Al Quoz,Brake Service,465.49,204.15,261.34,Card,Completed,2024-01,Q1,Thursday
TXN-001170,1/11/2024,8:50,Dubai-Al Quoz,Oil Change,163.88,58.51,105.37,Card,Completed,2024-01,Q1,Thursday
TXN-001171,1/11/2024,14:02,Dubai-Al Quoz,Tyre Replacement,943.98,410.6,533.38,Online,Completed,2024-01,Q1,Thursday
TXN-001172,1/11/2024,10:54,Dubai-Al Quoz,Wheel Alignment,158.05,54.35,103.7,Corporate Account,Completed,2024-01,Q1,Thursday
TXN-001173,1/11/2024,10:44,Dubai-Al Quoz,Full Service,818.36,359.72,458.64,Card,Completed,2024-01,Q1,Thursday
TXN-001174,1/11/2024,18:28,Dubai-Al Quoz,Wheel Alignment,159.58,55.67,103.91,Card,Completed,2024-01,Q1,Thursday
TXN-001175,1/11/2024,16:06,Dubai-Al Quoz,Full Service,760.08,276.94,483.14,Online,Completed,2024-01,Q1,Thursday
TXN-001176,1/11/2024,10:54,Dubai-Al Quoz,Oil Change,185.16,61.31,123.85,Card,Completed,2024-01,Q1,Thursday
TXN-001177,1/11/2024,9:40,Dubai-Al Quoz,Tyre Replacement,972.53,414.5,558.03,Cash,Completed,2024-01,Q1,Thursday
TXN-001178,1/11/2024,10:10,Dubai-Al Quoz,Brake Service,455.04,193.82,261.22,Card,Completed,2024-01,Q1,Thursday
TXN-001179,1/11/2024,10:37,Dubai-Al Quoz,Brake Service,408.78,163.3,245.48,Cash,Completed,2024-01,Q1,Thursday
TXN-001180,1/11/2024,16:34,Dubai-Al Quoz,Brake Service,431.52,184.08,247.44,Card,Completed,2024-01,Q1,Thursday
TXN-001181,1/11/2024,9:03,Dubai-Al Quoz,Oil Change,177.87,71.98,105.89,Cash,Completed,2024-01,Q1,Thursday
TXN-001182,1/11/2024,8:29,Dubai-Al Quoz,AC Service,322.46,125.48,196.98,Card,Completed,2024-01,Q1,Thursday
TXN-001183,1/11/2024,15:04,Dubai-Al Quoz,Detailing,429.68,151.34,278.34,Card,Completed,2024-01,Q1,Thursday
TXN-001184,1/11/2024,19:46,Dubai-Al Quoz,Wheel Alignment,138.89,48.21,90.68,Corporate Account,Completed,2024-01,Q1,Thursday
TXN-001185,1/12/2024,17:30,Dubai-Al Quoz,Brake Service,485.29,163.81,321.48,Card,Completed,2024-01,Q1,Friday
TXN-001186,1/12/2024,11:07,Dubai-Al Quoz,Battery Replacement,332.86,121.99,210.87,Online,Completed,2024-01,Q1,Friday
TXN-001187,1/12/2024,9:30,Dubai-Al Quoz,Brake Service,430.07,177.98,252.09,Card,Completed,2024-01,Q1,Friday
TXN-001188,1/12/2024,12:56,Dubai-Al Quoz,Full Service,685.73,236.7,449.03,Cash,Completed,2024-01,Q1,Friday
TXN-001189,1/12/2024,14:08,Dubai-Al Quoz,Brake Service,442.46,173.64,268.82,Card,Completed,2024-01,Q1,Friday
TXN-001190,1/12/2024,19:38,Dubai-Al Quoz,Oil Change,191.8,63.41,128.39,Card,Completed,2024-01,Q1,Friday
TXN-001191,1/12/2024,16:10,Dubai-Al Quoz,Engine Diagnostics,215,84.33,130.67,Cash,Completed,2024-01,Q1,Friday
TXN-001192,1/12/2024,9:17,Dubai-Al Quoz,Full Service,0,0,0,Cash,Void,2024-01,Q1,Friday
TXN-001193,1/12/2024,19:48,Dubai-Al Quoz,Engine Diagnostics,201.34,80.89,120.45,Card,Completed,2024-01,Q1,Friday
TXN-001194,1/13/2024,17:01,Dubai-Al Quoz,Engine Diagnostics,190.28,68.48,121.8,Cash,Completed,2024-01,Q1,Saturday
TXN-001195,1/13/2024,16:07,Dubai-Al Quoz,Oil Change,193.46,67.47,125.99,Card,Completed,2024-01,Q1,Saturday
TXN-001196,1/13/2024,16:14,Dubai-Al Quoz,Engine Diagnostics,216.36,83.23,133.13,Cash,Completed,2024-01,Q1,Saturday
