txn_id,date,branch,txn_type,description,amount_aed,balance_aed,month,quarter,flag
WLT-09023,1/20/2024,Dubai-Al Quoz,Expense,Cleaning Supplies,-114.57,645.47,2024-01,Q1,
WLT-09024,1/21/2024,Dubai-Al Quoz,Expense,Small Tools,-185.37,460.1,2024-01,Q1,
WLT-09025,1/21/2024,Dubai-Al Quoz,Expense,Stationary / Admin,-49.23,410.87,2024-01,Q1,
WLT-09026,1/22/2024,Dubai-Al Quoz,Expense,Parking / Toll,-24.56,386.31,2024-01,Q1,
WLT-09027,1/23/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-40.09,346.22,2024-01,Q1,
WLT-09028,1/24/2024,Dubai-Al Quoz,Expense,Small Tools,-156.82,189.4,2024-01,Q1,
WLT-09029,1/25/2024,Dubai-Al Quoz,Expense,Cleaning Supplies,-111.51,77.89,2024-01,Q1,
WLT-09030,1/27/2024,Dubai-Al Quoz,Expense,Fuel (Test Drive),-57.5,20.39,2024-01,Q1,
WLT-09031,2/1/2024,Dubai-Al Quoz,Top-Up,Monthly petty cash top-up,2828,2848.39,2024-02,Q1,
WLT-09032,2/1/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-48.96,2799.43,2024-02,Q1,
WLT-09033,2/3/2024,Dubai-Al Quoz,Expense,Emergency Parts Run,-305.43,2494,2024-02,Q1,
WLT-09034,2/3/2024,Dubai-Al Quoz,Expense,Small Tools,-175.38,2318.62,2024-02,Q1,
WLT-09035,2/4/2024,Dubai-Al Quoz,Expense,Parking / Toll,-21.05,2297.57,2024-02,Q1,
WLT-09036,2/5/2024,Dubai-Al Quoz,Expense,Small Tools,-199.79,2097.78,2024-02,Q1,
WLT-09037,2/6/2024,Dubai-Al Quoz,Expense,Emergency Parts Run,-250,1847.78,2024-02,Q1,Round-Number Review
WLT-09038,2/7/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-100.56,1747.22,2024-02,Q1,
WLT-09039,2/10/2024,Dubai-Al Quoz,Expense,Cleaning Supplies,-132.82,1614.4,2024-02,Q1,
WLT-09040,2/11/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-55.29,1559.11,2024-02,Q1,
WLT-09041,2/12/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-64.29,1494.82,2024-02,Q1,
WLT-09042,2/13/2024,Dubai-Al Quoz,Expense,Parking / Toll,-24.58,1470.24,2024-02,Q1,
WLT-09043,2/13/2024,Dubai-Al Quoz,Expense,Fuel (Test Drive),-64.25,1405.99,2024-02,Q1,
WLT-09044,2/14/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-48.03,1357.96,2024-02,Q1,
WLT-09045,2/15/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-83.45,1274.51,2024-02,Q1,
WLT-09046,2/17/2024,Dubai-Al Quoz,Expense,Emergency Parts Run,-274.5,1000.01,2024-02,Q1,
WLT-09047,2/18/2024,Dubai-Al Quoz,Expense,Small Tools,-172.42,827.59,2024-02,Q1,
WLT-09048,2/19/2024,Dubai-Al Quoz,Expense,Cleaning Supplies,-89.98,737.61,2024-02,Q1,
WLT-09049,2/20/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-72.12,665.49,2024-02,Q1,
WLT-09050,2/20/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-88.08,577.41,2024-02,Q1,
WLT-09051,2/21/2024,Dubai-Al Quoz,Expense,Cleaning Supplies,-100,477.41,2024-02,Q1,Round-Number Review
WLT-09052,2/21/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-40.98,436.43,2024-02,Q1,
WLT-09053,2/22/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-37.39,399.04,2024-02,Q1,
WLT-09054,2/25/2024,Dubai-Al Quoz,Expense,Fuel (Test Drive),-69.88,329.16,2024-02,Q1,
WLT-09055,2/25/2024,Dubai-Al Quoz,Expense,Fuel (Test Drive),-67.81,261.35,2024-02,Q1,
WLT-09056,2/28/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-71.76,189.59,2024-02,Q1,
WLT-09057,2/29/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-78.23,111.36,2024-02,Q1,
WLT-09058,3/2/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-75.72,35.64,2024-03,Q1,
WLT-09059,3/4/2024,Dubai-Al Quoz,Expense,Parking / Toll,-26.93,8.71,2024-03,Q1,
WLT-09060,4/1/2024,Dubai-Al Quoz,Top-Up,Monthly petty cash top-up,2897,2905.71,2024-04,Q2,
WLT-09061,4/1/2024,Dubai-Al Quoz,Expense,Parking / Toll,-18.76,2886.95,2024-04,Q2,
WLT-09062,4/1/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-82.59,2804.36,2024-04,Q2,
WLT-09063,4/2/2024,Dubai-Al Quoz,Expense,Small Tools,-171.99,2632.37,2024-04,Q2,
WLT-09064,4/3/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-40.34,2592.03,2024-04,Q2,
WLT-09065,4/4/2024,Dubai-Al Quoz,Expense,Small Tools,-218.18,2373.85,2024-04,Q2,
WLT-09066,4/4/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-45.45,2328.4,2024-04,Q2,
WLT-09067,4/6/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-101.08,2227.32,2024-04,Q2,
WLT-09068,4/7/2024,Dubai-Al Quoz,Expense,Fuel (Test Drive),-62.12,2165.2,2024-04,Q2,
WLT-09069,4/8/2024,Dubai-Al Quoz,Expense,Emergency Parts Run,-293.69,1871.51,2024-04,Q2,
WLT-09070,4/8/2024,Dubai-Al Quoz,Expense,Emergency Parts Run,-342.41,1529.1,2024-04,Q2,
WLT-09071,4/9/2024,Dubai-Al Quoz,Expense,Cleaning Supplies,-136.83,1392.27,2024-04,Q2,
WLT-09072,4/10/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-91.99,1300.28,2024-04,Q2,
WLT-09073,4/11/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-48.29,1251.99,2024-04,Q2,
WLT-09074,4/13/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-53.78,1198.21,2024-04,Q2,
WLT-09075,4/14/2024,Dubai-Al Quoz,Expense,Fuel (Test Drive),-54.84,1143.37,2024-04,Q2,
WLT-09076,4/15/2024,Dubai-Al Quoz,Expense,Small Tools,-199.99,943.38,2024-04,Q2,
WLT-09077,4/16/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-41.57,901.81,2024-04,Q2,
WLT-09078,4/18/2024,Dubai-Al Quoz,Expense,Emergency Parts Run,-399.92,501.89,2024-04,Q2,
WLT-09079,4/20/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-50.93,450.96,2024-04,Q2,
WLT-09080,4/24/2024,Dubai-Al Quoz,Expense,Parking / Toll,-23.82,427.14,2024-04,Q2,
WLT-09081,4/25/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-34.88,392.26,2024-04,Q2,
WLT-09082,4/27/2024,Dubai-Al Quoz,Expense,Emergency Parts Run,-279.3,112.96,2024-04,Q2,
WLT-09083,4/28/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-52.98,59.98,2024-04,Q2,
WLT-09084,4/29/2024,Dubai-Al Quoz,Expense,Fuel (Test Drive),-50.02,9.96,2024-04,Q2,
WLT-09085,5/1/2024,Dubai-Al Quoz,Top-Up,Monthly petty cash top-up,2963,2972.96,2024-05,Q2,
WLT-09086,5/1/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-38.84,2934.12,2024-05,Q2,
WLT-09087,5/2/2024,Dubai-Al Quoz,Expense,Fuel (Test Drive),-64.95,2869.17,2024-05,Q2,
WLT-09088,5/4/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-85.6,2783.57,2024-05,Q2,
WLT-09089,5/4/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-79.94,2703.63,2024-05,Q2,
WLT-09090,5/5/2024,Dubai-Al Quoz,Expense,Fuel (Test Drive),-74.33,2629.3,2024-05,Q2,
WLT-09091,5/6/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-99.84,2529.46,2024-05,Q2,
WLT-09092,5/7/2024,Dubai-Al Quoz,Expense,Stationary / Admin,-46.33,2483.13,2024-05,Q2,
WLT-09093,5/8/2024,Dubai-Al Quoz,Expense,Fuel (Test Drive),-50.32,2432.81,2024-05,Q2,
WLT-09094,5/9/2024,Dubai-Al Quoz,Expense,Cleaning Supplies,-89.63,2343.18,2024-05,Q2,
WLT-09095,5/11/2024,Dubai-Al Quoz,Expense,Fuel (Test Drive),-53.69,2289.49,2024-05,Q2,
WLT-09096,5/12/2024,Dubai-Al Quoz,Expense,Parking / Toll,-24.31,2265.18,2024-05,Q2,
WLT-09097,5/13/2024,Dubai-Al Quoz,Expense,Cleaning Supplies,-98.56,2166.62,2024-05,Q2,
WLT-09098,5/14/2024,Dubai-Al Quoz,Expense,Fuel (Test Drive),-62.99,2103.63,2024-05,Q2,
WLT-09099,5/14/2024,Dubai-Al Quoz,Expense,Cleaning Supplies,-122.89,1980.74,2024-05,Q2,
WLT-09100,5/14/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-46.53,1934.21,2024-05,Q2,
WLT-09101,5/15/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-69.47,1864.74,2024-05,Q2,
WLT-09102,5/16/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-34.88,1829.86,2024-05,Q2,
WLT-09103,5/18/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-41.91,1787.95,2024-05,Q2,
WLT-09104,5/19/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-40.05,1747.9,2024-05,Q2,
WLT-09105,5/20/2024,Dubai-Al Quoz,Expense,Cleaning Supplies,-135.62,1612.28,2024-05,Q2,
WLT-09106,5/21/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-51.55,1560.73,2024-05,Q2,
WLT-09107,5/22/2024,Dubai-Al Quoz,Expense,Cleaning Supplies,-135.55,1425.18,2024-05,Q2,
WLT-09108,5/22/2024,Dubai-Al Quoz,Expense,Cleaning Supplies,-104.56,1320.62,2024-05,Q2,
WLT-09109,5/25/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-72.11,1248.51,2024-05,Q2,
WLT-09110,5/25/2024,Dubai-Al Quoz,Expense,Stationary / Admin,-52.34,1196.17,2024-05,Q2,
WLT-09111,5/26/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-68.53,1127.64,2024-05,Q2,
WLT-09112,5/26/2024,Dubai-Al Quoz,Expense,Fuel (Test Drive),-74.97,1052.67,2024-05,Q2,
WLT-09113,5/27/2024,Dubai-Al Quoz,Expense,Cleaning Supplies,-134.97,917.7,2024-05,Q2,
WLT-09114,5/28/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-40.57,877.13,2024-05,Q2,
WLT-09115,5/30/2024,Dubai-Al Quoz,Expense,Parking / Toll,-25.64,851.49,2024-05,Q2,
WLT-09116,5/30/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-68.32,783.17,2024-05,Q2,
WLT-09117,6/1/2024,Dubai-Al Quoz,Top-Up,Monthly petty cash top-up,2936,3719.17,2024-06,Q2,
WLT-09118,6/1/2024,Dubai-Al Quoz,Expense,Small Tools,-200,3519.17,2024-06,Q2,Round-Number Review
WLT-09119,6/1/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-93.93,3425.24,2024-06,Q2,
WLT-09120,6/2/2024,Dubai-Al Quoz,Expense,Emergency Parts Run,-250,3175.24,2024-06,Q2,Round-Number Review
WLT-09121,6/2/2024,Dubai-Al Quoz,Expense,Small Tools,-227.04,2948.2,2024-06,Q2,
WLT-09122,6/5/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-50,2898.2,2024-06,Q2,Round-Number Review
WLT-09123,6/6/2024,Dubai-Al Quoz,Expense,Emergency Parts Run,-250,2648.2,2024-06,Q2,Round-Number Review
WLT-09124,6/6/2024,Dubai-Al Quoz,Expense,Emergency Parts Run,-382.59,2265.61,2024-06,Q2,
WLT-09125,6/9/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-101.9,2163.71,2024-06,Q2,
WLT-09126,6/9/2024,Dubai-Al Quoz,Expense,Small Tools,-168.69,1995.02,2024-06,Q2,
WLT-09127,6/10/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-50,1945.02,2024-06,Q2,Round-Number Review
WLT-09128,6/10/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-38.85,1906.17,2024-06,Q2,
WLT-09129,6/10/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-102.89,1803.28,2024-06,Q2,
WLT-09130,6/11/2024,Dubai-Al Quoz,Expense,Cleaning Supplies,-88.86,1714.42,2024-06,Q2,
WLT-09131,6/11/2024,Dubai-Al Quoz,Expense,Fuel (Test Drive),-60.27,1654.15,2024-06,Q2,
WLT-09132,6/12/2024,Dubai-Al Quoz,Expense,Parking / Toll,-30.66,1623.49,2024-06,Q2,
WLT-09133,6/12/2024,Dubai-Al Quoz,Expense,Cleaning Supplies,-84.35,1539.14,2024-06,Q2,
WLT-09134,6/13/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-36.82,1502.32,2024-06,Q2,
WLT-09135,6/13/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-50,1452.32,2024-06,Q2,Round-Number Review
WLT-09136,6/15/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-70.68,1381.64,2024-06,Q2,
WLT-09137,6/17/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-49.88,1331.76,2024-06,Q2,
WLT-09138,6/19/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-34.09,1297.67,2024-06,Q2,
WLT-09139,6/19/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-50.07,1247.6,2024-06,Q2,
WLT-09140,6/19/2024,Dubai-Al Quoz,Expense,Emergency Parts Run,-269.93,977.67,2024-06,Q2,
WLT-09141,6/20/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-46.11,931.56,2024-06,Q2,
WLT-09142,6/22/2024,Dubai-Al Quoz,Expense,Fuel (Test Drive),-50.83,880.73,2024-06,Q2,
WLT-09143,6/22/2024,Dubai-Al Quoz,Expense,Emergency Parts Run,-242.31,638.42,2024-06,Q2,
WLT-09144,6/24/2024,Dubai-Al Quoz,Expense,Emergency Parts Run,-271.32,367.1,2024-06,Q2,
WLT-09145,6/25/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-65.56,301.54,2024-06,Q2,
WLT-09146,6/25/2024,Dubai-Al Quoz,Expense,Cleaning Supplies,-125.97,175.57,2024-06,Q2,
WLT-09147,6/26/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-87.37,88.2,2024-06,Q2,
WLT-09148,6/29/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-79.54,8.66,2024-06,Q2,
WLT-09149,7/1/2024,Dubai-Al Quoz,Top-Up,Monthly petty cash top-up,3082,3090.66,2024-07,Q3,
WLT-09150,7/1/2024,Dubai-Al Quoz,Expense,Parking / Toll,-25.93,3064.73,2024-07,Q3,
WLT-09151,7/1/2024,Dubai-Al Quoz,Expense,Stationary / Admin,-60.91,3003.82,2024-07,Q3,
WLT-09152,7/2/2024,Dubai-Al Quoz,Expense,Parking / Toll,-30.42,2973.4,2024-07,Q3,
WLT-09153,7/3/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-52.79,2920.61,2024-07,Q3,
WLT-09154,7/4/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-67.23,2853.38,2024-07,Q3,
WLT-09155,7/4/2024,Dubai-Al Quoz,Expense,Fuel (Test Drive),-61.83,2791.55,2024-07,Q3,
WLT-09156,7/7/2024,Dubai-Al Quoz,Expense,Small Tools,-180.54,2611.01,2024-07,Q3,
WLT-09157,7/7/2024,Dubai-Al Quoz,Expense,Small Tools,-230.76,2380.25,2024-07,Q3,
WLT-09158,7/8/2024,Dubai-Al Quoz,Expense,Small Tools,-250,2130.25,2024-07,Q3,Round-Number Review
WLT-09159,7/9/2024,Dubai-Al Quoz,Expense,Stationary / Admin,-45.2,2085.05,2024-07,Q3,
WLT-09160,7/9/2024,Dubai-Al Quoz,Expense,Small Tools,-155.79,1929.26,2024-07,Q3,
WLT-09161,7/10/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-101.88,1827.38,2024-07,Q3,
WLT-09162,7/11/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-70.89,1756.49,2024-07,Q3,
WLT-09163,7/13/2024,Dubai-Al Quoz,Expense,Small Tools,-224.19,1532.3,2024-07,Q3,
WLT-09164,7/13/2024,Dubai-Al Quoz,Expense,Small Tools,-183.66,1348.64,2024-07,Q3,
WLT-09165,7/14/2024,Dubai-Al Quoz,Expense,Parking / Toll,0,1348.64,2024-07,Q3,Round-Number Review
WLT-09166,7/14/2024,Dubai-Al Quoz,Expense,Emergency Parts Run,-308.53,1040.11,2024-07,Q3,
WLT-09167,7/14/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-35.38,1004.73,2024-07,Q3,
WLT-09168,7/15/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-50.5,954.23,2024-07,Q3,
WLT-09169,7/16/2024,Dubai-Al Quoz,Expense,Small Tools,-215.78,738.45,2024-07,Q3,
WLT-09170,7/16/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-54.45,684,2024-07,Q3,
WLT-09171,7/17/2024,Dubai-Al Quoz,Expense,Small Tools,-163.48,520.52,2024-07,Q3,
WLT-09172,7/18/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-82.56,437.96,2024-07,Q3,
WLT-09173,7/18/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-46.28,391.68,2024-07,Q3,
WLT-09174,7/18/2024,Dubai-Al Quoz,Expense,Parking / Toll,-26.95,364.73,2024-07,Q3,
WLT-09175,7/20/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-44.54,320.19,2024-07,Q3,
WLT-09176,7/23/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-36.68,283.51,2024-07,Q3,
WLT-09177,7/23/2024,Dubai-Al Quoz,Expense,Parking / Toll,-25.59,257.92,2024-07,Q3,
WLT-09178,7/23/2024,Dubai-Al Quoz,Expense,Fuel (Test Drive),-47.49,210.43,2024-07,Q3,
WLT-09179,7/24/2024,Dubai-Al Quoz,Expense,Fuel (Test Drive),-57.28,153.15,2024-07,Q3,
WLT-09180,7/25/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-94.54,58.61,2024-07,Q3,
WLT-09181,7/28/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-55.25,3.36,2024-07,Q3,
WLT-09182,8/1/2024,Dubai-Al Quoz,Top-Up,Monthly petty cash top-up,3062,3065.36,2024-08,Q3,
WLT-09183,8/1/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-95.29,2970.07,2024-08,Q3,
WLT-09184,8/3/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-98.46,2871.61,2024-08,Q3,
WLT-09185,8/4/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-40.63,2830.98,2024-08,Q3,
WLT-09186,8/5/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-35.67,2795.31,2024-08,Q3,
WLT-09187,8/6/2024,Dubai-Al Quoz,Expense,Emergency Parts Run,-307.51,2487.8,2024-08,Q3,
WLT-09188,8/7/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-75.15,2412.65,2024-08,Q3,
WLT-09189,8/7/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-55.94,2356.71,2024-08,Q3,
WLT-09190,8/7/2024,Dubai-Al Quoz,Expense,Cleaning Supplies,-82.6,2274.11,2024-08,Q3,
WLT-09191,8/8/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-47.73,2226.38,2024-08,Q3,
WLT-09192,8/10/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-67.6,2158.78,2024-08,Q3,
WLT-09193,8/11/2024,Dubai-Al Quoz,Expense,Parking / Toll,-25.99,2132.79,2024-08,Q3,
WLT-09194,8/12/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-47.97,2084.82,2024-08,Q3,
WLT-09195,8/12/2024,Dubai-Al Quoz,Expense,Fuel (Test Drive),-59.29,2025.53,2024-08,Q3,
WLT-09196,8/13/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-92.77,1932.76,2024-08,Q3,
WLT-09197,8/13/2024,Dubai-Al Quoz,Expense,Cleaning Supplies,-129.64,1803.12,2024-08,Q3,
WLT-09198,8/14/2024,Dubai-Al Quoz,Expense,Emergency Parts Run,-382.65,1420.47,2024-08,Q3,
WLT-09199,8/15/2024,Dubai-Al Quoz,Expense,Small Tools,-244.53,1175.94,2024-08,Q3,
WLT-09200,8/18/2024,Dubai-Al Quoz,Expense,Fuel (Test Drive),-70.3,1105.64,2024-08,Q3,
WLT-09201,8/18/2024,Dubai-Al Quoz,Expense,Parking / Toll,-24.65,1080.99,2024-08,Q3,
WLT-09202,8/19/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-49.94,1031.05,2024-08,Q3,
WLT-09203,8/21/2024,Dubai-Al Quoz,Expense,Fuel (Test Drive),-50.67,980.38,2024-08,Q3,
WLT-09204,8/22/2024,Dubai-Al Quoz,Expense,Cleaning Supplies,-132.13,848.25,2024-08,Q3,
WLT-09205,8/24/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-55.02,793.23,2024-08,Q3,
WLT-09206,8/25/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-44.43,748.8,2024-08,Q3,
WLT-09207,8/25/2024,Dubai-Al Quoz,Expense,Parking / Toll,-21.75,727.05,2024-08,Q3,
WLT-09208,8/26/2024,Dubai-Al Quoz,Expense,Cleaning Supplies,-91.53,635.52,2024-08,Q3,
WLT-09209,8/27/2024,Dubai-Al Quoz,Expense,Stationary / Admin,-63.59,571.93,2024-08,Q3,
WLT-09210,8/27/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-36.79,535.14,2024-08,Q3,
WLT-09211,8/28/2024,Dubai-Al Quoz,Expense,Stationary / Admin,-45.02,490.12,2024-08,Q3,
WLT-09212,8/28/2024,Dubai-Al Quoz,Expense,Parking / Toll,-19.12,471,2024-08,Q3,
WLT-09213,8/29/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-42.67,428.33,2024-08,Q3,
WLT-09214,8/31/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-50.92,377.41,2024-08,Q3,
WLT-09215,9/1/2024,Dubai-Al Quoz,Top-Up,Monthly petty cash top-up,3072,3449.41,2024-09,Q3,
WLT-09216,9/1/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-38.25,3411.16,2024-09,Q3,
WLT-09217,9/2/2024,Dubai-Al Quoz,Expense,Stationary / Admin,-66.52,3344.64,2024-09,Q3,
WLT-09218,9/3/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-55.92,3288.72,2024-09,Q3,
WLT-09219,9/4/2024,Dubai-Al Quoz,Expense,Parking / Toll,-27.33,3261.39,2024-09,Q3,
WLT-09220,9/5/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-46.02,3215.37,2024-09,Q3,
WLT-09221,9/5/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-53.7,3161.67,2024-09,Q3,
WLT-09222,9/5/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-50.9,3110.77,2024-09,Q3,
WLT-09223,9/7/2024,Dubai-Al Quoz,Expense,Small Tools,-223.88,2886.89,2024-09,Q3,
WLT-09224,9/7/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-90.76,2796.13,2024-09,Q3,
WLT-09225,9/8/2024,Dubai-Al Quoz,Expense,Emergency Parts Run,-324.59,2471.54,2024-09,Q3,
WLT-09226,9/9/2024,Dubai-Al Quoz,Expense,Consumables (Rags/Gloves),-69.32,2402.22,2024-09,Q3,
WLT-09227,9/10/2024,Dubai-Al Quoz,Expense,Parking / Toll,-23.17,2379.05,2024-09,Q3,
WLT-09228,9/12/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-44.22,2334.83,2024-09,Q3,
WLT-09229,9/14/2024,Dubai-Al Quoz,Expense,Parking / Toll,-22.17,2312.66,2024-09,Q3,
WLT-09230,9/15/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-37.08,2275.58,2024-09,Q3,
WLT-09231,9/15/2024,Dubai-Al Quoz,Expense,Staff Refreshments,-40.97,2234.61,2024-09,Q3,
