transaction_id,date,time,branch,service_type,total_amount_aed,parts_cost_aed,labour_cost_aed,payment_method,status,month,quarter,day_of_week,is_void,revenue_aed
TXN-001014,2024-01-02,09:37,Dubai-Al Quoz,Battery Replacement,297.42,118.61,178.81,Card,Completed,2024-01,Q1,Tuesday,False,297.42
TXN-001015,2024-01-02,17:21,Dubai-Al Quoz,Detailing,419.02,128.32,290.7,Cash,Completed,2024-01,Q1,Tuesday,False,419.02
TXN-001016,2024-01-02,09:07,Dubai-Al Quoz,Tyre Replacement,819.99,312.59,507.4,Cash,Completed,2024-01,Q1,Tuesday,False,819.99
TXN-001017,2024-01-02,18:35,Dubai-Al Quoz,Wheel Alignment,152.43,55.95,96.48,Cash,Completed,2024-01,Q1,Tuesday,False,152.43
TXN-001018,2024-01-02,12:41,Dubai-Al Quoz,Wheel Alignment,160.71,49.02,111.69,Card,Completed,2024-01,Q1,Tuesday,False,160.71
TXN-001019,2024-01-02,19:43,Dubai-Al Quoz,Oil Change,180.98,81.02,99.96,Cash,Completed,2024-01,Q1,Tuesday,False,180.98
TXN-001020,2024-01-02,18:18,Dubai-Al Quoz,Engine Diagnostics,186.73,74.64,112.09,Online,Completed,2024-01,Q1,Tuesday,False,186.73
TXN-001021,2024-01-02,09:36,Dubai-Al Quoz,Tyre Replacement,879.62,333.61,546.01,Online,Completed,2024-01,Q1,Tuesday,False,879.62
TXN-001022,2024-01-02,17:39,Dubai-Al Quoz,Oil Change,162.83,61.67,101.16,Cash,Completed,2024-01,Q1,Tuesday,False,162.83
TXN-001023,2024-01-02,09:21,Dubai-Al Quoz,Oil Change,172.77,52.84,119.93,Corporate Account,Completed,2024-01,Q1,Tuesday,False,172.77
TXN-001024,2024-01-02,08:46,Dubai-Al Quoz,Oil Change,165.86,68.92,96.94,Card,Completed,2024-01,Q1,Tuesday,False,165.86
TXN-001025,2024-01-02,18:13,Dubai-Al Quoz,Oil Change,166.34,72.63,93.71,Card,Completed,2024-01,Q1,Tuesday,False,166.34
TXN-001026,2024-01-02,08:04,Dubai-Al Quoz,Oil Change,187.06,70.9,116.16,Card,Completed,2024-01,Q1,Tuesday,False,187.06
TXN-001027,2024-01-02,13:49,Dubai-Al Quoz,Oil Change,168.93,59.66,109.27,Card,Completed,2024-01,Q1,Tuesday,False,168.93
TXN-001028,2024-01-02,18:56,Dubai-Al Quoz,Tyre Replacement,952.23,303.94,648.29,Online,Completed,2024-01,Q1,Tuesday,False,952.23
TXN-001029,2024-01-02,18:50,Dubai-Al Quoz,Detailing,390.6,155.27,235.33,Cash,Completed,2024-01,Q1,Tuesday,False,390.6
TXN-001030,2024-01-02,08:42,Dubai-Al Quoz,Oil Change,162.22,66.7,95.52,Card,Completed,2024-01,Q1,Tuesday,False,162.22
TXN-001031,2024-01-02,11:59,Dubai-Al Quoz,Oil Change,197.05,87.35,109.7,Card,Completed,2024-01,Q1,Tuesday,False,197.05
TXN-001032,2024-01-02,08:06,Dubai-Al Quoz,Oil Change,187.97,63.94,124.03,Card,Completed,2024-01,Q1,Tuesday,False,187.97
TXN-001033,2024-01-02,09:21,Dubai-Al Quoz,Full Service,688.79,299.17,389.62,Card,Completed,2024-01,Q1,Tuesday,False,688.79
TXN-001034,2024-01-03,17:53,Dubai-Al Quoz,Battery Replacement,319.9,133.17,186.73,Cash,Completed,2024-01,Q1,Wednesday,False,319.9
TXN-001035,2024-01-03,13:08,Dubai-Al Quoz,Brake Service,461.6,156.38,305.22,Online,Completed,2024-01,Q1,Wednesday,False,461.6
TXN-001036,2024-01-03,18:24,Dubai-Al Quoz,Oil Change,184.79,63.22,121.57,Card,Completed,2024-01,Q1,Wednesday,False,184.79
TXN-001037,2024-01-03,10:54,Dubai-Al Quoz,Engine Overhaul,3190.08,1223.71,1966.37,Card,Completed,2024-01,Q1,Wednesday,False,3190.08
TXN-001038,2024-01-03,16:20,Dubai-Al Quoz,Brake Service,461.53,187.97,273.56,Card,Completed,2024-01,Q1,Wednesday,False,461.53
TXN-001039,2024-01-03,19:41,Dubai-Al Quoz,Battery Replacement,311.74,110.42,201.32,Online,Completed,2024-01,Q1,Wednesday,False,311.74
TXN-001040,2024-01-03,17:34,Dubai-Al Quoz,Tyre Replacement,842.39,330.69,511.7,Card,Completed,2024-01,Q1,Wednesday,False,842.39
TXN-001041,2024-01-03,18:19,Dubai-Al Quoz,AC Service,377.97,122.74,255.23,Cash,Completed,2024-01,Q1,Wednesday,False,377.97
TXN-001042,2024-01-03,19:16,Dubai-Al Quoz,AC Service,362.17,147.62,214.55,Cash,Completed,2024-01,Q1,Wednesday,False,362.17
TXN-001043,2024-01-03,17:58,Dubai-Al Quoz,Oil Change,167.37,54.26,113.11,Card,Completed,2024-01,Q1,Wednesday,False,167.37
TXN-001044,2024-01-03,18:20,Dubai-Al Quoz,Full Service,819.41,364.26,455.15,Card,Completed,2024-01,Q1,Wednesday,False,819.41
TXN-001045,2024-01-03,10:34,Dubai-Al Quoz,Oil Change,197.97,60.81,137.16,Card,Completed,2024-01,Q1,Wednesday,False,197.97
TXN-001046,2024-01-03,18:41,Dubai-Al Quoz,Brake Service,444.11,191.21,252.9,Cash,Completed,2024-01,Q1,Wednesday,False,444.11
TXN-001047,2024-01-03,16:11,Dubai-Al Quoz,Oil Change,172.75,64.42,108.33,Card,Completed,2024-01,Q1,Wednesday,False,172.75
TXN-001048,2024-01-03,10:38,Dubai-Al Quoz,Oil Change,163.98,58.98,105.0,Cash,Completed,2024-01,Q1,Wednesday,False,163.98
TXN-001049,2024-01-04,15:36,Dubai-Al Quoz,Engine Overhaul,3517.01,1075.69,2441.32,Cash,Completed,2024-01,Q1,Thursday,False,3517.01
TXN-001050,2024-01-04,17:05,Dubai-Al Quoz,Full Service,791.33,294.06,497.27,Card,Completed,2024-01,Q1,Thursday,False,791.33
TXN-001051,2024-01-04,08:56,Dubai-Al Quoz,Wheel Alignment,138.3,58.89,79.41,Corporate Account,Completed,2024-01,Q1,Thursday,False,138.3
TXN-001052,2024-01-04,14:35,Dubai-Al Quoz,Brake Service,447.0,194.38,252.62,Card,Completed,2024-01,Q1,Thursday,False,447.0
TXN-001053,2024-01-04,12:02,Dubai-Al Quoz,Engine Diagnostics,189.51,79.82,109.69,Card,Completed,2024-01,Q1,Thursday,False,189.51
TXN-001054,2024-01-04,16:23,Dubai-Al Quoz,Engine Diagnostics,197.91,74.02,123.89,Card,Completed,2024-01,Q1,Thursday,False,197.91
TXN-001055,2024-01-04,12:58,Dubai-Al Quoz,AC Service,0.0,0.0,0.0,Card,Void,2024-01,Q1,Thursday,True,0.0
TXN-001056,2024-01-04,13:27,Dubai-Al Quoz,Suspension Repair,733.15,263.76,469.39,Card,Completed,2024-01,Q1,Thursday,False,733.15
TXN-001057,2024-01-04,10:12,Dubai-Al Quoz,Tyre Replacement,984.53,345.93,638.6,Cash,Completed,2024-01,Q1,Thursday,False,984.53
TXN-001058,2024-01-04,11:50,Dubai-Al Quoz,Suspension Repair,797.12,332.47,464.65,Cash,Completed,2024-01,Q1,Thursday,False,797.12
TXN-001059,2024-01-04,11:31,Dubai-Al Quoz,Detailing,403.36,135.63,267.73,Card,Completed,2024-01,Q1,Thursday,False,403.36
TXN-001060,2024-01-04,16:15,Dubai-Al Quoz,Oil Change,197.49,61.81,135.68,Cash,Completed,2024-01,Q1,Thursday,False,197.49
TXN-001061,2024-01-04,12:43,Dubai-Al Quoz,Oil Change,174.58,67.29,107.29,Online,Completed,2024-01,Q1,Thursday,False,174.58
TXN-001062,2024-01-04,19:30,Dubai-Al Quoz,Battery Replacement,345.47,149.22,196.25,Corporate Account,Completed,2024-01,Q1,Thursday,False,345.47
TXN-001063,2024-01-04,11:44,Dubai-Al Quoz,Detailing,433.22,191.3,241.92,Corporate Account,Completed,2024-01,Q1,Thursday,False,433.22
TXN-001064,2024-01-04,08:17,Dubai-Al Quoz,AC Service,376.58,139.05,237.53,Card,Completed,2024-01,Q1,Thursday,False,376.58
TXN-001065,2024-01-04,16:45,Dubai-Al Quoz,AC Service,378.34,160.17,218.17,Card,Completed,2024-01,Q1,Thursday,False,378.34
TXN-001066,2024-01-04,11:47,Dubai-Al Quoz,Tyre Replacement,921.36,311.33,610.03,Cash,Completed,2024-01,Q1,Thursday,False,921.36
TXN-001067,2024-01-04,10:11,Dubai-Al Quoz,Oil Change,176.86,70.2,106.66,Card,Completed,2024-01,Q1,Thursday,False,176.86
TXN-001068,2024-01-04,11:16,Dubai-Al Quoz,Oil Change,195.59,78.48,117.11,Card,Completed,2024-01,Q1,Thursday,False,195.59
TXN-001069,2024-01-05,09:29,Dubai-Al Quoz,Suspension Repair,845.51,358.63,486.88,Card,Completed,2024-01,Q1,Friday,False,845.51
TXN-001070,2024-01-05,11:45,Dubai-Al Quoz,Full Service,733.81,236.45,497.36,Card,Completed,2024-01,Q1,Friday,False,733.81
TXN-001071,2024-01-05,15:12,Dubai-Al Quoz,Oil Change,167.9,50.91,116.99,Card,Completed,2024-01,Q1,Friday,False,167.9
TXN-001072,2024-01-05,19:32,Dubai-Al Quoz,Brake Service,489.28,155.43,333.85,Cash,Completed,2024-01,Q1,Friday,False,489.28
TXN-001073,2024-01-05,08:40,Dubai-Al Quoz,Oil Change,183.01,74.81,108.2,Card,Completed,2024-01,Q1,Friday,False,183.01
TXN-001074,2024-01-05,09:00,Dubai-Al Quoz,Full Service,820.19,291.04,529.15,Card,Completed,2024-01,Q1,Friday,False,820.19
TXN-001075,2024-01-05,18:29,Dubai-Al Quoz,Tyre Replacement,896.17,390.19,505.98,Card,Completed,2024-01,Q1,Friday,False,896.17
TXN-001076,2024-01-05,09:47,Dubai-Al Quoz,Full Service,738.42,283.4,455.02,Card,Completed,2024-01,Q1,Friday,False,738.42
TXN-001077,2024-01-05,16:49,Dubai-Al Quoz,Detailing,406.75,178.97,227.78,Online,Completed,2024-01,Q1,Friday,False,406.75
TXN-001078,2024-01-06,11:16,Dubai-Al Quoz,Full Service,735.4,257.67,477.73,Card,Completed,2024-01,Q1,Saturday,False,735.4
TXN-001079,2024-01-06,13:57,Dubai-Al Quoz,Tyre Replacement,914.92,305.57,609.35,Card,Completed,2024-01,Q1,Saturday,False,914.92
TXN-001080,2024-01-06,10:19,Dubai-Al Quoz,Oil Change,172.75,61.43,111.32,Card,Completed,2024-01,Q1,Saturday,False,172.75
TXN-001081,2024-01-06,19:37,Dubai-Al Quoz,Engine Overhaul,3201.67,1046.35,2155.32,Corporate Account,Completed,2024-01,Q1,Saturday,False,3201.67
TXN-001082,2024-01-06,08:46,Dubai-Al Quoz,Detailing,419.0,170.82,248.18,Online,Completed,2024-01,Q1,Saturday,False,419.0
TXN-001083,2024-01-06,10:16,Dubai-Al Quoz,Tyre Replacement,0.0,0.0,0.0,Card,Void,2024-01,Q1,Saturday,True,0.0
TXN-001084,2024-01-06,12:39,Dubai-Al Quoz,Full Service,794.25,244.58,549.67,Cash,Completed,2024-01,Q1,Saturday,False,794.25
TXN-001085,2024-01-06,15:18,Dubai-Al Quoz,Tyre Replacement,847.51,291.39,556.12,Card,Completed,2024-01,Q1,Saturday,False,847.51
TXN-001086,2024-01-07,16:08,Dubai-Al Quoz,Oil Change,181.12,73.98,107.14,Online,Completed,2024-01,Q1,Sunday,False,181.12
TXN-001087,2024-01-07,16:49,Dubai-Al Quoz,Full Service,711.83,306.59,405.24,Cash,Completed,2024-01,Q1,Sunday,False,711.83
TXN-001088,2024-01-07,12:48,Dubai-Al Quoz,Oil Change,171.57,52.36,119.21,Cash,Completed,2024-01,Q1,Sunday,False,171.57
TXN-001089,2024-01-07,12:54,Dubai-Al Quoz,Oil Change,177.68,74.43,103.25,Card,Completed,2024-01,Q1,Sunday,False,177.68
TXN-001090,2024-01-07,14:14,Dubai-Al Quoz,Full Service,728.68,313.42,415.26,Card,Completed,2024-01,Q1,Sunday,False,728.68
TXN-001091,2024-01-07,18:09,Dubai-Al Quoz,Battery Replacement,293.37,112.13,181.24,Cash,Completed,2024-01,Q1,Sunday,False,293.37
TXN-001092,2024-01-07,08:57,Dubai-Al Quoz,Tyre Replacement,916.44,347.07,569.37,Cash,Completed,2024-01,Q1,Sunday,False,916.44
TXN-001093,2024-01-07,09:00,Dubai-Al Quoz,Oil Change,167.16,66.08,101.08,Card,Completed,2024-01,Q1,Sunday,False,167.16
TXN-001094,2024-01-07,17:06,Dubai-Al Quoz,Full Service,779.58,319.68,459.9,Online,Completed,2024-01,Q1,Sunday,False,779.58
TXN-001095,2024-01-07,09:45,Dubai-Al Quoz,Full Service,707.46,261.99,445.47,Card,Completed,2024-01,Q1,Sunday,False,707.46
TXN-001096,2024-01-07,10:35,Dubai-Al Quoz,Wheel Alignment,142.61,50.09,92.52,Online,Completed,2024-01,Q1,Sunday,False,142.61
TXN-001097,2024-01-07,10:08,Dubai-Al Quoz,AC Service,383.48,159.88,223.6,Card,Completed,2024-01,Q1,Sunday,False,383.48
TXN-001098,2024-01-07,09:31,Dubai-Al Quoz,Oil Change,176.76,68.22,108.54,Card,Completed,2024-01,Q1,Sunday,False,176.76
TXN-001099,2024-01-07,16:34,Dubai-Al Quoz,Oil Change,176.97,54.63,122.34,Card,Completed,2024-01,Q1,Sunday,False,176.97
TXN-001100,2024-01-07,09:18,Dubai-Al Quoz,Engine Diagnostics,184.65,64.6,120.05,Card,Completed,2024-01,Q1,Sunday,False,184.65
TXN-001101,2024-01-07,12:01,Dubai-Al Quoz,Full Service,791.45,249.39,542.06,Card,Completed,2024-01,Q1,Sunday,False,791.45
TXN-001102,2024-01-07,17:34,Dubai-Al Quoz,Tyre Replacement,974.91,412.59,562.32,Card,Completed,2024-01,Q1,Sunday,False,974.91
TXN-001103,2024-01-07,16:43,Dubai-Al Quoz,Oil Change,187.92,62.94,124.98,Online,Completed,2024-01,Q1,Sunday,False,187.92
TXN-001104,2024-01-07,09:10,Dubai-Al Quoz,Battery Replacement,346.43,118.72,227.71,Card,Completed,2024-01,Q1,Sunday,False,346.43
TXN-001105,2024-01-07,17:05,Dubai-Al Quoz,Oil Change,173.66,55.84,117.82,Card,Completed,2024-01,Q1,Sunday,False,173.66
TXN-001106,2024-01-07,09:21,Dubai-Al Quoz,Oil Change,172.85,68.19,104.66,Card,Completed,2024-01,Q1,Sunday,False,172.85
TXN-001107,2024-01-08,17:13,Dubai-Al Quoz,AC Service,372.03,159.89,212.14,Card,Completed,2024-01,Q1,Monday,False,372.03
TXN-001108,2024-01-08,08:39,Dubai-Al Quoz,Full Service,706.46,246.66,459.8,Cash,Completed,2024-01,Q1,Monday,False,706.46
TXN-001109,2024-01-08,09:08,Dubai-Al Quoz,Brake Service,474.13,177.43,296.7,Card,Completed,2024-01,Q1,Monday,False,474.13
TXN-001110,2024-01-08,18:39,Dubai-Al Quoz,Full Service,782.65,328.23,454.42,Cash,Completed,2024-01,Q1,Monday,False,782.65
TXN-001111,2024-01-08,17:58,Dubai-Al Quoz,Engine Diagnostics,200.8,68.05,132.75,Card,Completed,2024-01,Q1,Monday,False,200.8
TXN-001112,2024-01-08,15:38,Dubai-Al Quoz,Full Service,724.69,224.66,500.03,Card,Completed,2024-01,Q1,Monday,False,724.69
TXN-001113,2024-01-08,10:35,Dubai-Al Quoz,Oil Change,182.74,77.27,105.47,Cash,Completed,2024-01,Q1,Monday,False,182.74
TXN-001114,2024-01-08,15:11,Dubai-Al Quoz,Brake Service,487.56,176.04,311.52,Card,Completed,2024-01,Q1,Monday,False,487.56
TXN-001115,2024-01-08,10:16,Dubai-Al Quoz,Battery Replacement,344.65,127.75,216.9,Cash,Completed,2024-01,Q1,Monday,False,344.65
TXN-001116,2024-01-08,13:07,Dubai-Al Quoz,AC Service,326.8,115.73,211.07,Online,Completed,2024-01,Q1,Monday,False,326.8
TXN-001117,2024-01-08,16:08,Dubai-Al Quoz,Tyre Replacement,963.47,371.59,591.88,Online,Completed,2024-01,Q1,Monday,False,963.47
TXN-001118,2024-01-08,16:05,Dubai-Al Quoz,Oil Change,190.11,74.71,115.4,Cash,Completed,2024-01,Q1,Monday,False,190.11
TXN-001119,2024-01-08,10:38,Dubai-Al Quoz,Wheel Alignment,164.62,72.48,92.14,Card,Completed,2024-01,Q1,Monday,False,164.62
TXN-001120,2024-01-08,08:33,Dubai-Al Quoz,Battery Replacement,307.42,102.64,204.78,Card,Completed,2024-01,Q1,Monday,False,307.42
TXN-001121,2024-01-08,16:19,Dubai-Al Quoz,Oil Change,163.92,67.29,96.63,Cash,Completed,2024-01,Q1,Monday,False,163.92
TXN-001122,2024-01-08,11:16,Dubai-Al Quoz,Oil Change,176.43,74.14,102.29,Online,Completed,2024-01,Q1,Monday,False,176.43
TXN-001123,2024-01-08,12:42,Dubai-Al Quoz,Oil Change,186.21,62.49,123.72,Card,Completed,2024-01,Q1,Monday,False,186.21
TXN-001124,2024-01-08,12:09,Dubai-Al Quoz,Detailing,387.21,155.9,231.31,Card,Completed,2024-01,Q1,Monday,False,387.21
TXN-001125,2024-01-08,11:48,Dubai-Al Quoz,Oil Change,179.25,80.23,99.02,Card,Completed,2024-01,Q1,Monday,False,179.25
TXN-001126,2024-01-08,17:30,Dubai-Al Quoz,Engine Diagnostics,197.97,77.35,120.62,Card,Completed,2024-01,Q1,Monday,False,197.97
TXN-001127,2024-01-08,14:16,Dubai-Al Quoz,Oil Change,167.77,56.31,111.46,Online,Completed,2024-01,Q1,Monday,False,167.77
TXN-001128,2024-01-08,14:06,Dubai-Al Quoz,Full Service,712.46,241.54,470.92,Corporate Account,Completed,2024-01,Q1,Monday,False,712.46
TXN-001129,2024-01-09,10:15,Dubai-Al Quoz,AC Service,354.85,114.01,240.84,Cash,Completed,2024-01,Q1,Tuesday,False,354.85
TXN-001130,2024-01-09,10:03,Dubai-Al Quoz,Detailing,410.15,180.54,229.61,Cash,Completed,2024-01,Q1,Tuesday,False,410.15
TXN-001131,2024-01-09,17:48,Dubai-Al Quoz,Full Service,803.55,295.72,507.83,Card,Completed,2024-01,Q1,Tuesday,False,803.55
TXN-001132,2024-01-09,09:02,Dubai-Al Quoz,AC Service,356.77,132.03,224.74,Corporate Account,Completed,2024-01,Q1,Tuesday,False,356.77
TXN-001133,2024-01-09,14:46,Dubai-Al Quoz,Battery Replacement,294.44,108.26,186.18,Card,Completed,2024-01,Q1,Tuesday,False,294.44
TXN-001134,2024-01-09,09:43,Dubai-Al Quoz,Engine Overhaul,3467.13,1363.64,2103.49,Cash,Completed,2024-01,Q1,Tuesday,False,3467.13
TXN-001135,2024-01-09,17:22,Dubai-Al Quoz,Battery Replacement,340.11,142.46,197.65,Card,Completed,2024-01,Q1,Tuesday,False,340.11
TXN-001136,2024-01-09,14:32,Dubai-Al Quoz,Oil Change,174.14,69.01,105.13,Online,Completed,2024-01,Q1,Tuesday,False,174.14
TXN-001137,2024-01-09,19:22,Dubai-Al Quoz,AC Service,369.47,136.23,233.24,Card,Completed,2024-01,Q1,Tuesday,False,369.47
TXN-001138,2024-01-09,12:24,Dubai-Al Quoz,Wheel Alignment,150.17,54.28,95.89,Corporate Account,Completed,2024-01,Q1,Tuesday,False,150.17
TXN-001139,2024-01-09,18:10,Dubai-Al Quoz,Oil Change,179.13,64.53,114.6,Card,Completed,2024-01,Q1,Tuesday,False,179.13
TXN-001140,2024-01-09,16:21,Dubai-Al Quoz,Tyre Replacement,949.1,417.03,532.07,Card,Completed,2024-01,Q1,Tuesday,False,949.1
TXN-001141,2024-01-09,15:38,Dubai-Al Quoz,Detailing,380.32,144.9,235.42,Card,Completed,2024-01,Q1,Tuesday,False,380.32
TXN-001142,2024-01-09,13:11,Dubai-Al Quoz,Oil Change,174.01,61.88,112.13,Online,Completed,2024-01,Q1,Tuesday,False,174.01
TXN-001143,2024-01-09,13:15,Dubai-Al Quoz,Brake Service,464.44,149.25,315.19,Card,Completed,2024-01,Q1,Tuesday,False,464.44
TXN-001144,2024-01-09,09:05,Dubai-Al Quoz,Full Service,808.87,299.03,509.84,Cash,Completed,2024-01,Q1,Tuesday,False,808.87
TXN-001145,2024-01-09,13:52,Dubai-Al Quoz,Tyre Replacement,954.52,317.25,637.27,Online,Completed,2024-01,Q1,Tuesday,False,954.52
TXN-001146,2024-01-09,16:50,Dubai-Al Quoz,Battery Replacement,339.12,147.51,191.61,Card,Completed,2024-01,Q1,Tuesday,False,339.12
TXN-001147,2024-01-09,16:46,Dubai-Al Quoz,AC Service,339.17,147.27,191.9,Corporate Account,Completed,2024-01,Q1,Tuesday,False,339.17
TXN-001148,2024-01-09,16:26,Dubai-Al Quoz,Brake Service,412.2,167.05,245.15,Card,Completed,2024-01,Q1,Tuesday,False,412.2
TXN-001149,2024-01-09,08:28,Dubai-Al Quoz,Oil Change,186.52,56.32,130.2,Online,Completed,2024-01,Q1,Tuesday,False,186.52
TXN-001150,2024-01-09,15:18,Dubai-Al Quoz,AC Service,323.37,145.22,178.15,Online,Completed,2024-01,Q1,Tuesday,False,323.37
TXN-001151,2024-01-09,09:10,Dubai-Al Quoz,Oil Change,186.91,71.79,115.12,Card,Completed,2024-01,Q1,Tuesday,False,186.91
TXN-001152,2024-01-09,09:01,Dubai-Al Quoz,Brake Service,416.32,173.77,242.55,Online,Completed,2024-01,Q1,Tuesday,False,416.32
TXN-001153,2024-01-10,14:23,Dubai-Al Quoz,Oil Change,182.32,78.44,103.88,Card,Completed,2024-01,Q1,Wednesday,False,182.32
TXN-001154,2024-01-10,15:27,Dubai-Al Quoz,Full Service,822.24,264.48,557.76,Card,Completed,2024-01,Q1,Wednesday,False,822.24
TXN-001155,2024-01-10,09:39,Dubai-Al Quoz,Oil Change,194.93,72.26,122.67,Card,Completed,2024-01,Q1,Wednesday,False,194.93
TXN-001156,2024-01-10,10:29,Dubai-Al Quoz,Wheel Alignment,147.99,64.74,83.25,Card,Completed,2024-01,Q1,Wednesday,False,147.99
TXN-001157,2024-01-10,11:01,Dubai-Al Quoz,Oil Change,167.3,74.87,92.43,Card,Completed,2024-01,Q1,Wednesday,False,167.3
TXN-001158,2024-01-10,18:48,Dubai-Al Quoz,Brake Service,489.39,186.8,302.59,Card,Completed,2024-01,Q1,Wednesday,False,489.39
TXN-001159,2024-01-10,15:46,Dubai-Al Quoz,Oil Change,172.32,69.62,102.7,Cash,Completed,2024-01,Q1,Wednesday,False,172.32
TXN-001160,2024-01-10,10:49,Dubai-Al Quoz,Oil Change,189.45,67.9,121.55,Card,Completed,2024-01,Q1,Wednesday,False,189.45
TXN-001161,2024-01-10,10:24,Dubai-Al Quoz,Tyre Replacement,913.14,364.5,548.64,Cash,Completed,2024-01,Q1,Wednesday,False,913.14
TXN-001162,2024-01-10,09:28,Dubai-Al Quoz,Oil Change,177.67,77.15,100.52,Card,Completed,2024-01,Q1,Wednesday,False,177.67
TXN-001163,2024-01-10,18:10,Dubai-Al Quoz,Tyre Replacement,908.31,359.88,548.43,Online,Completed,2024-01,Q1,Wednesday,False,908.31
TXN-001164,2024-01-10,17:38,Dubai-Al Quoz,Full Service,780.51,306.43,474.08,Corporate Account,Completed,2024-01,Q1,Wednesday,False,780.51
TXN-001165,2024-01-10,11:53,Dubai-Al Quoz,Oil Change,0.0,0.0,0.0,Card,Void,2024-01,Q1,Wednesday,True,0.0
TXN-001166,2024-01-10,08:05,Dubai-Al Quoz,Oil Change,170.99,55.99,115.0,Card,Completed,2024-01,Q1,Wednesday,False,170.99
TXN-001167,2024-01-10,11:25,Dubai-Al Quoz,Oil Change,195.24,71.47,123.77,Cash,Completed,2024-01,Q1,Wednesday,False,195.24
TXN-001168,2024-01-11,10:34,Dubai-Al Quoz,Wheel Alignment,161.68,65.8,95.88,Cash,Completed,2024-01,Q1,Thursday,False,161.68
TXN-001169,2024-01-11,10:20,Dubai-Al Quoz,Brake Service,465.49,204.15,261.34,Card,Completed,2024-01,Q1,Thursday,False,465.49
TXN-001170,2024-01-11,08:50,Dubai-Al Quoz,Oil Change,163.88,58.51,105.37,Card,Completed,2024-01,Q1,Thursday,False,163.88
TXN-001171,2024-01-11,14:02,Dubai-Al Quoz,Tyre Replacement,943.98,410.6,533.38,Online,Completed,2024-01,Q1,Thursday,False,943.98
TXN-001172,2024-01-11,10:54,Dubai-Al Quoz,Wheel Alignment,158.05,54.35,103.7,Corporate Account,Completed,2024-01,Q1,Thursday,False,158.05
TXN-001173,2024-01-11,10:44,Dubai-Al Quoz,Full Service,818.36,359.72,458.64,Card,Completed,2024-01,Q1,Thursday,False,818.36
TXN-001174,2024-01-11,18:28,Dubai-Al Quoz,Wheel Alignment,159.58,55.67,103.91,Card,Completed,2024-01,Q1,Thursday,False,159.58
TXN-001175,2024-01-11,16:06,Dubai-Al Quoz,Full Service,760.08,276.94,483.14,Online,Completed,2024-01,Q1,Thursday,False,760.08
TXN-001176,2024-01-11,10:54,Dubai-Al Quoz,Oil Change,185.16,61.31,123.85,Card,Completed,2024-01,Q1,Thursday,False,185.16
TXN-001177,2024-01-11,09:40,Dubai-Al Quoz,Tyre Replacement,972.53,414.5,558.03,Cash,Completed,2024-01,Q1,Thursday,False,972.53
TXN-001178,2024-01-11,10:10,Dubai-Al Quoz,Brake Service,455.04,193.82,261.22,Card,Completed,2024-01,Q1,Thursday,False,455.04
TXN-001179,2024-01-11,10:37,Dubai-Al Quoz,Brake Service,408.78,163.3,245.48,Cash,Completed,2024-01,Q1,Thursday,False,408.78
TXN-001180,2024-01-11,16:34,Dubai-Al Quoz,Brake Service,431.52,184.08,247.44,Card,Completed,2024-01,Q1,Thursday,False,431.52
