invoice_number,invoice_date,branch,branch_trn,customer_type,customer_trn,service_category,subtotal_aed,vat_charged_aed,total_aed,is_taxable,month,quarter,b2b_missing_trn,branch_trn_valid,customer_trn_valid,recalc_vat_aed,vat_error_flag,correct_total_aed,total_mismatch_flag,exempt_vat_flag,clean_error_flag
GINV-DUB-2024-00015,2024-01-02,Dubai-Al Quoz,100234567890123,B2B,561927359610590.0,Parts Supply,1035.79,51.79,1087.58,True,2024-01,Q1,False,True,False,51.79,False,1087.58,False,False,CLEAN
GINV-DUB-2024-00016,2024-01-02,Dubai-Al Quoz,100234567890123,B2B,857000446892816.0,Parts Supply,1036.16,51.81,1087.97,True,2024-01,Q1,False,True,False,51.81,False,1087.97,False,False,CLEAN
GINV-DUB-2024-00017,2024-01-03,Dubai-Al Quoz,100234567890123,B2C,,Detailing Package,413.09,20.65,433.74,True,2024-01,Q1,False,True,False,20.65,False,433.74,False,False,CLEAN
GINV-DUB-2024-00018,2024-01-03,Dubai-Al Quoz,100234567890123,B2B,523734673859407.0,Fleet Contract,8535.44,426.77,8962.21,True,2024-01,Q1,False,True,False,426.77,False,8962.21,False,False,CLEAN
GINV-DUB-2024-00019,2024-01-03,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,597.93,29.9,627.83,True,2024-01,Q1,False,True,False,29.9,False,627.83,False,False,CLEAN
GINV-DUB-2024-00020,2024-01-03,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,493.9,24.7,518.6,True,2024-01,Q1,False,True,False,24.7,False,518.6,False,False,CLEAN
GINV-DUB-2024-00021,2024-01-03,Dubai-Al Quoz,100234567890123,B2B,182777880796993.0,Parts Supply,1104.8,55.24,1160.04,True,2024-01,Q1,False,True,False,55.24,False,1160.04,False,False,CLEAN
GINV-DUB-2024-00022,2024-01-03,Dubai-Al Quoz,100234567890123,B2B,812679890193754.0,Parts Supply,925.86,46.29,972.15,True,2024-01,Q1,False,True,False,46.29,False,972.15,False,False,CLEAN
GINV-DUB-2024-00023,2024-01-04,Dubai-Al Quoz,100234567890123,B2B,972735921779188.0,Parts Supply,802.63,40.13,842.76,True,2024-01,Q1,False,True,False,40.13,False,842.76,False,False,CLEAN
GINV-DUB-2024-00024,2024-01-04,Dubai-Al Quoz,100234567890123,B2B,681740297799285.0,International Transport,1534.82,0.0,1534.82,False,2024-01,Q1,False,True,False,0.0,False,1534.82,False,False,CLEAN
GINV-DUB-2024-00025,2024-01-04,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,624.63,34.35,658.98,True,2024-01,Q1,False,True,False,31.23,True,655.86,True,False,VAT_RATE_ERROR|TOTAL_MISMATCH
GINV-DUB-2024-00026,2024-01-04,Dubai-Al Quoz,100234567890123,B2B,735982519844955.0,International Transport,1064.3,0.0,1064.3,False,2024-01,Q1,False,True,False,0.0,False,1064.3,False,False,CLEAN
GINV-DUB-2024-00027,2024-01-04,Dubai-Al Quoz,100234567890123,B2C,,Detailing Package,430.03,21.5,451.53,True,2024-01,Q1,False,True,False,21.5,False,451.53,False,False,CLEAN
GINV-DUB-2024-00028,2024-01-04,Dubai-Al Quoz,100234567890123,B2B,561461000368537.0,Parts Supply,872.55,43.63,916.18,True,2024-01,Q1,False,True,False,43.63,False,916.18,False,False,CLEAN
GINV-DUB-2024-00029,2024-01-04,Dubai-Al Quoz,100234567890123,B2B,529304907631618.0,Parts Supply,983.18,49.16,1032.34,True,2024-01,Q1,False,True,False,49.16,False,1032.34,False,False,CLEAN
GINV-DUB-2024-00030,2024-01-05,Dubai-Al Quoz,100234567890123,B2B,707075256334855.0,Parts Supply,836.78,41.84,878.62,True,2024-01,Q1,False,True,False,41.84,False,878.62,False,False,CLEAN
GINV-DUB-2024-00031,2024-01-05,Dubai-Al Quoz,100234567890123,B2B,113902199111384.0,Parts Supply,743.07,37.15,780.22,True,2024-01,Q1,False,True,False,37.15,False,780.22,False,False,CLEAN
GINV-DUB-2024-00032,2024-01-05,Dubai-Al Quoz,100234567890123,B2B,,Fleet Contract,9357.35,467.87,9825.22,True,2024-01,Q1,False,True,False,467.87,False,9825.22,False,False,CLEAN
GINV-DUB-2024-00033,2024-01-05,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,543.36,27.17,570.53,True,2024-01,Q1,False,True,False,27.17,False,570.53,False,False,CLEAN
GINV-DUB-2024-00034,2024-01-05,Dubai-Al Quoz,100234567890123,B2B,431288804796864.0,Fleet Contract,8459.67,422.98,8882.65,True,2024-01,Q1,False,True,False,422.98,False,8882.65,False,False,CLEAN
GINV-DUB-2024-00035,2024-01-05,Dubai-Al Quoz,100234567890123,B2B,206106626956962.0,Parts Supply,641.24,32.06,673.3,True,2024-01,Q1,False,True,False,32.06,False,673.3,False,False,CLEAN
GINV-DUB-2024-00036,2024-01-08,Dubai-Al Quoz,100234567890123,B2B,350533203200604.0,Fleet Contract,11724.7,586.24,12310.94,True,2024-01,Q1,False,True,False,586.24,False,12310.94,False,False,CLEAN
GINV-DUB-2024-00037,2024-01-08,Dubai-Al Quoz,100234567890123,B2B,945470351325667.0,Fleet Contract,7122.8,356.14,7478.94,True,2024-01,Q1,False,True,False,356.14,False,7478.94,False,False,CLEAN
GINV-DUB-2024-00038,2024-01-08,Dubai-Al Quoz,100234567890123,B2B,439572153628071.0,Fleet Contract,10097.98,504.9,10602.88,True,2024-01,Q1,False,True,False,504.9,False,10602.88,False,False,CLEAN
GINV-DUB-2024-00039,2024-01-08,Dubai-Al Quoz,100234567890123,B2C,,Detailing Package,259.41,10.38,269.79,True,2024-01,Q1,False,True,False,12.97,True,272.38,True,False,VAT_RATE_ERROR|TOTAL_MISMATCH
GINV-DUB-2024-00040,2024-01-08,Dubai-Al Quoz,100234567890123,B2B,327242976840972.0,Vehicle Service,430.39,21.52,451.91,True,2024-01,Q1,False,True,False,21.52,False,451.91,False,False,CLEAN
GINV-DUB-2024-00041,2024-01-08,Dubai-Al Quoz,100234567890123,B2B,279859729986050.0,Detailing Package,280.69,14.03,294.72,True,2024-01,Q1,False,True,False,14.03,False,294.72,False,False,CLEAN
GINV-DUB-2024-00042,2024-01-08,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,445.23,22.26,467.49,True,2024-01,Q1,False,True,False,22.26,False,467.49,False,False,CLEAN
GINV-DUB-2024-00043,2024-01-08,Dubai-Al Quoz,100234567890123,B2B,642425877250929.0,Parts Supply,917.93,45.9,963.83,True,2024-01,Q1,False,True,False,45.9,False,963.83,False,False,CLEAN
GINV-DUB-2024-00044,2024-01-09,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,496.56,24.83,521.39,True,2024-01,Q1,False,True,False,24.83,False,521.39,False,False,CLEAN
GINV-DUB-2024-00045,2024-01-09,Dubai-Al Quoz,100234567890123,B2B,593416698236528.0,Vehicle Service,480.19,24.01,504.2,True,2024-01,Q1,False,True,False,24.01,False,504.2,False,False,CLEAN
GINV-DUB-2024-00046,2024-01-09,Dubai-Al Quoz,100234567890123,B2B,934205185471995.0,Fleet Contract,7725.73,386.29,8112.02,True,2024-01,Q1,False,True,False,386.29,False,8112.02,False,False,CLEAN
GINV-DUB-2024-00047,2024-01-09,Dubai-Al Quoz,100234567890123,B2C,,Detailing Package,264.45,13.22,277.67,True,2024-01,Q1,False,True,False,13.22,False,277.67,False,False,CLEAN
GINV-DUB-2024-00048,2024-01-09,Dubai-Al Quoz,100234567890123,B2B,195206258845297.0,International Transport,1429.63,0.0,1429.63,False,2024-01,Q1,False,True,False,0.0,False,1429.63,False,False,CLEAN
GINV-DUB-2024-00049,2024-01-09,Dubai-Al Quoz,100234567890123,B2C,,Detailing Package,360.38,18.02,378.4,True,2024-01,Q1,False,True,False,18.02,False,378.4,False,False,CLEAN
GINV-DUB-2024-00050,2024-01-09,Dubai-Al Quoz,100234567890123,B2B,116889066261429.0,Fleet Contract,11374.09,568.7,11942.79,True,2024-01,Q1,False,True,False,568.7,False,11942.79,False,False,CLEAN
GINV-DUB-2024-00051,2024-01-10,Dubai-Al Quoz,100234567890123,B2B,528344770921630.0,Fleet Contract,11050.13,552.51,11602.64,True,2024-01,Q1,False,True,False,552.51,False,11602.64,False,False,CLEAN
GINV-DUB-2024-00052,2024-01-10,Dubai-Al Quoz,100234567890123,B2B,411494730596358.0,Detailing Package,358.71,17.94,376.65,True,2024-01,Q1,False,True,False,17.94,False,376.65,False,False,CLEAN
GINV-DUB-2024-00053,2024-01-10,Dubai-Al Quoz,100234567890123,B2B,655908996692643.0,Fleet Contract,8331.42,416.57,8747.99,True,2024-01,Q1,False,True,False,416.57,False,8747.99,False,False,CLEAN
GINV-DUB-2024-00054,2024-01-10,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,579.59,28.98,608.57,True,2024-01,Q1,False,True,False,28.98,False,608.57,False,False,CLEAN
GINV-DUB-2024-00055,2024-01-10,Dubai-Al Quoz,100234567890123,B2B,455614292879480.0,International Transport,1385.59,0.0,1385.59,False,2024-01,Q1,False,True,False,0.0,False,1385.59,False,False,CLEAN
GINV-DUB-2024-00056,2024-01-10,Dubai-Al Quoz,100234567890123,B2B,462679781509608.0,Fleet Contract,6983.59,349.18,7332.77,True,2024-01,Q1,False,True,False,349.18,False,7332.77,False,False,CLEAN
GINV-DUB-2024-00057,2024-01-10,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,504.79,25.24,530.03,True,2024-01,Q1,False,True,False,25.24,False,530.03,False,False,CLEAN
GINV-DUB-2024-00058,2024-01-10,Dubai-Al Quoz,100234567890123,B2B,372317143396516.0,Detailing Package,249.98,12.5,262.48,True,2024-01,Q1,False,True,False,12.5,False,262.48,False,False,CLEAN
GINV-DUB-2024-00059,2024-01-11,Dubai-Al Quoz,100234567890123,B2B,625385867202255.0,Parts Supply,1019.39,50.97,1070.36,True,2024-01,Q1,False,True,False,50.97,False,1070.36,False,False,CLEAN
GINV-DUB-2024-00060,2024-01-11,Dubai-Al Quoz,100234567890123,B2B,962643000206591.0,Vehicle Service,509.83,25.49,535.32,True,2024-01,Q1,False,True,False,25.49,False,535.32,False,False,CLEAN
GINV-DUB-2024-00061,2024-01-11,Dubai-Al Quoz,100234567890123,B2B,681942503821050.0,International Transport,1496.25,0.0,1496.25,False,2024-01,Q1,False,True,False,0.0,False,1496.25,False,False,CLEAN
GINV-DUB-2024-00062,2024-01-11,Dubai-Al Quoz,100234567890123,B2B,858239974988298.0,Fleet Contract,6189.3,309.47,6498.77,True,2024-01,Q1,False,True,False,309.47,False,6498.77,False,False,CLEAN
GINV-DUB-2024-00063,2024-01-11,Dubai-Al Quoz,100234567890123,B2B,471598612057431.0,Parts Supply,893.2,44.66,937.86,True,2024-01,Q1,False,True,False,44.66,False,937.86,False,False,CLEAN
GINV-DUB-2024-00064,2024-01-11,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,446.76,22.34,469.1,True,2024-01,Q1,False,True,False,22.34,False,469.1,False,False,CLEAN
GINV-DUB-2024-00065,2024-01-12,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,555.52,27.78,583.3,True,2024-01,Q1,False,True,False,27.78,False,583.3,False,False,CLEAN
GINV-DUB-2024-00066,2024-01-12,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,483.62,24.18,507.8,True,2024-01,Q1,False,True,False,24.18,False,507.8,False,False,CLEAN
GINV-DUB-2024-00067,2024-01-12,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,588.69,29.43,618.12,True,2024-01,Q1,False,True,False,29.43,False,618.12,False,False,CLEAN
GINV-DUB-2024-00068,2024-01-12,Dubai-Al Quoz,100234567890123,B2B,836451958289287.0,Vehicle Service,530.29,26.51,556.8,True,2024-01,Q1,False,True,False,26.51,False,556.8,False,False,CLEAN
GINV-DUB-2024-00069,2024-01-12,Dubai-Al Quoz,100234567890123,B2B,829696262818328.0,Parts Supply,844.67,42.23,886.9,True,2024-01,Q1,False,True,False,42.23,False,886.9,False,False,CLEAN
GINV-DUB-2024-00070,2024-01-12,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,469.49,23.47,492.96,True,2024-01,Q1,False,True,False,23.47,False,492.96,False,False,CLEAN
GINV-DUB-2024-00071,2024-01-12,Dubai-Al Quoz,100234567890123,B2B,693765382432766.0,Fleet Contract,9839.98,492.0,10331.98,True,2024-01,Q1,False,True,False,492.0,False,10331.98,False,False,CLEAN
GINV-DUB-2024-00072,2024-01-12,Dubai-Al Quoz,100234567890123,B2B,711073944243976.0,International Transport,1644.69,0.0,1644.69,False,2024-01,Q1,False,True,False,0.0,False,1644.69,False,False,CLEAN
GINV-DUB-2024-00073,2024-01-12,Dubai-Al Quoz,100234567890123,B2B,394971061014388.0,Fleet Contract,6605.38,363.3,6968.68,True,2024-01,Q1,False,True,False,330.27,True,6935.65,True,False,VAT_RATE_ERROR|TOTAL_MISMATCH
GINV-DUB-2024-00074,2024-01-15,Dubai-Al Quoz,100234567890123,B2B,772227543401283.0,Fleet Contract,10867.44,543.37,11410.81,True,2024-01,Q1,False,True,False,543.37,False,11410.81,False,False,CLEAN
GINV-DUB-2024-00075,2024-01-15,Dubai-Al Quoz,100234567890123,B2C,,Detailing Package,470.43,23.52,493.95,True,2024-01,Q1,False,True,False,23.52,False,493.95,False,False,CLEAN
GINV-DUB-2024-00076,2024-01-15,Dubai-Al Quoz,100234567890123,B2B,120730860540728.0,Vehicle Service,514.28,25.71,539.99,True,2024-01,Q1,False,True,False,25.71,False,539.99,False,False,CLEAN
GINV-DUB-2024-00077,2024-01-15,Dubai-Al Quoz,100234567890123,B2B,723536101156640.0,International Transport,1419.65,0.0,1419.65,False,2024-01,Q1,False,True,False,0.0,False,1419.65,False,False,CLEAN
GINV-DUB-2024-00078,2024-01-15,Dubai-Al Quoz,100234567890123,B2B,620320692225114.0,Fleet Contract,8213.49,410.67,8624.16,True,2024-01,Q1,False,True,False,410.67,False,8624.16,False,False,CLEAN
GINV-DUB-2024-00079,2024-01-15,Dubai-Al Quoz,100234567890123,B2B,605233783840314.0,Parts Supply,688.64,34.43,723.07,True,2024-01,Q1,False,True,False,34.43,False,723.07,False,False,CLEAN
GINV-DUB-2024-00080,2024-01-15,Dubai-Al Quoz,100234567890123,B2B,654721324690185.0,Parts Supply,1059.82,52.99,1112.81,True,2024-01,Q1,False,True,False,52.99,False,1112.81,False,False,CLEAN
GINV-DUB-2024-00081,2024-01-16,Dubai-Al Quoz,100234567890123,B2B,379667352885483.0,Fleet Contract,11684.29,584.21,12268.5,True,2024-01,Q1,False,True,False,584.21,False,12268.5,False,False,CLEAN
GINV-DUB-2024-00082,2024-01-16,Dubai-Al Quoz,100234567890123,B2B,237620994307882.0,Parts Supply,833.36,41.67,875.03,True,2024-01,Q1,False,True,False,41.67,False,875.03,False,False,CLEAN
GINV-DUB-2024-00083,2024-01-16,Dubai-Al Quoz,100234567890123,B2C,,Detailing Package,352.18,17.61,369.79,True,2024-01,Q1,False,True,False,17.61,False,369.79,False,False,CLEAN
GINV-DUB-2024-00084,2024-01-16,Dubai-Al Quoz,100234567890123,B2B,664989543346143.0,Vehicle Service,317.65,15.88,333.53,True,2024-01,Q1,False,True,False,15.88,False,333.53,False,False,CLEAN
GINV-DUB-2024-00085,2024-01-16,Dubai-Al Quoz,100234567890123,B2B,344121854893020.0,Fleet Contract,10989.85,549.49,11539.34,True,2024-01,Q1,False,True,False,549.49,False,11539.34,False,False,CLEAN
GINV-DUB-2024-00086,2024-01-16,Dubai-Al Quoz,100234567890123,B2B,,Parts Supply,693.28,34.66,727.94,True,2024-01,Q1,False,True,False,34.66,False,727.94,False,False,CLEAN
GINV-DUB-2024-00087,2024-01-16,Dubai-Al Quoz,100234567890123,B2C,,Detailing Package,447.25,22.36,469.61,True,2024-01,Q1,False,True,False,22.36,False,469.61,False,False,CLEAN
GINV-DUB-2024-00088,2024-01-16,Dubai-Al Quoz,100234567890123,B2B,153607774832828.0,Detailing Package,266.34,13.32,279.66,True,2024-01,Q1,False,True,False,13.32,False,279.66,False,False,CLEAN
GINV-DUB-2024-00089,2024-01-16,Dubai-Al Quoz,100234567890123,B2C,,Detailing Package,370.41,18.52,388.93,True,2024-01,Q1,False,True,False,18.52,False,388.93,False,False,CLEAN
GINV-DUB-2024-00090,2024-01-17,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,593.69,29.68,623.37,True,2024-01,Q1,False,True,False,29.68,False,623.37,False,False,CLEAN
GINV-DUB-2024-00091,2024-01-17,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,428.8,21.44,450.24,True,2024-01,Q1,False,True,False,21.44,False,450.24,False,False,CLEAN
GINV-DUB-2024-00092,2024-01-17,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,441.05,22.05,463.1,True,2024-01,Q1,False,True,False,22.05,False,463.1,False,False,CLEAN
GINV-DUB-2024-00093,2024-01-17,Dubai-Al Quoz,100234567890123,B2B,123664677162443.0,Fleet Contract,6890.4,344.52,7234.92,True,2024-01,Q1,False,True,False,344.52,False,7234.92,False,False,CLEAN
GINV-DUB-2024-00094,2024-01-17,Dubai-Al Quoz,100234567890123,B2B,643058877543430.0,Detailing Package,473.79,23.69,497.48,True,2024-01,Q1,False,True,False,23.69,False,497.48,False,False,CLEAN
GINV-DUB-2024-00095,2024-01-17,Dubai-Al Quoz,100234567890123,B2B,863707983536831.0,Detailing Package,290.23,14.51,304.74,True,2024-01,Q1,False,True,False,14.51,False,304.74,False,False,CLEAN
GINV-DUB-2024-00096,2024-01-17,Dubai-Al Quoz,100234567890123,B2C,,Detailing Package,441.1,22.06,463.16,True,2024-01,Q1,False,True,False,22.06,False,463.16,False,False,CLEAN
GINV-DUB-2024-00097,2024-01-17,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,626.56,31.33,657.89,True,2024-01,Q1,False,True,False,31.33,False,657.89,False,False,CLEAN
GINV-DUB-2024-00098,2024-01-17,Dubai-Al Quoz,100234567890123,B2B,199569777509844.0,Fleet Contract,10934.27,546.71,11480.98,True,2024-01,Q1,False,True,False,546.71,False,11480.98,False,False,CLEAN
GINV-DUB-2024-00099,2024-01-18,Dubai-Al Quoz,100234567890123,B2B,489400253460661.0,Parts Supply,860.9,43.05,903.95,True,2024-01,Q1,False,True,False,43.05,False,903.95,False,False,CLEAN
GINV-DUB-2024-00100,2024-01-18,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,571.94,28.6,600.54,True,2024-01,Q1,False,True,False,28.6,False,600.54,False,False,CLEAN
GINV-DUB-2024-00101,2024-01-18,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,624.0,31.2,655.2,True,2024-01,Q1,False,True,False,31.2,False,655.2,False,False,CLEAN
GINV-DUB-2024-00102,2024-01-18,Dubai-Al Quoz,100234567890123,B2B,496114041102037.0,Parts Supply,805.16,40.26,845.42,True,2024-01,Q1,False,True,False,40.26,False,845.42,False,False,CLEAN
GINV-DUB-2024-00103,2024-01-18,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,544.26,27.21,571.47,True,2024-01,Q1,False,True,False,27.21,False,571.47,False,False,CLEAN
GINV-DUB-2024-00104,2024-01-19,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,585.18,29.26,614.44,True,2024-01,Q1,False,True,False,29.26,False,614.44,False,False,CLEAN
GINV-DUB-2024-00105,2024-01-19,Dubai-Al Quoz,100234567890123,B2B,771029656748086.0,Fleet Contract,8339.93,417.0,8756.93,True,2024-01,Q1,False,True,False,417.0,False,8756.93,False,False,CLEAN
GINV-DUB-2024-00106,2024-01-19,Dubai-Al Quoz,100234567890123,B2B,251863604413639.0,Parts Supply,706.72,35.34,742.06,True,2024-01,Q1,False,True,False,35.34,False,742.06,False,False,CLEAN
GINV-DUB-2024-00107,2024-01-19,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,460.42,23.02,483.44,True,2024-01,Q1,False,True,False,23.02,False,483.44,False,False,CLEAN
GINV-DUB-2024-00108,2024-01-19,Dubai-Al Quoz,100234567890123,B2B,172627488751016.0,Vehicle Service,323.73,16.19,339.92,True,2024-01,Q1,False,True,False,16.19,False,339.92,False,False,CLEAN
GINV-DUB-2024-00109,2024-01-19,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,572.05,28.6,600.65,True,2024-01,Q1,False,True,False,28.6,False,600.65,False,False,CLEAN
GINV-DUB-2024-00110,2024-01-19,Dubai-Al Quoz,100234567890123,B2B,112283613379632.0,Detailing Package,245.05,12.25,257.3,True,2024-01,Q1,False,True,False,12.25,False,257.3,False,False,CLEAN
GINV-DUB-2024-00111,2024-01-19,Dubai-Al Quoz,100234567890123,B2B,997232008267740.0,Fleet Contract,8846.42,442.32,9288.74,True,2024-01,Q1,False,True,False,442.32,False,9288.74,False,False,CLEAN
GINV-DUB-2024-00112,2024-01-22,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,408.17,20.41,428.58,True,2024-01,Q1,False,True,False,20.41,False,428.58,False,False,CLEAN
GINV-DUB-2024-00113,2024-01-22,Dubai-Al Quoz,100234567890123,B2B,845224396597521.0,Parts Supply,615.12,30.76,645.88,True,2024-01,Q1,False,True,False,30.76,False,645.88,False,False,CLEAN
GINV-DUB-2024-00114,2024-01-22,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,340.48,17.02,357.5,True,2024-01,Q1,False,True,False,17.02,False,357.5,False,False,CLEAN
GINV-DUB-2024-00115,2024-01-22,Dubai-Al Quoz,100234567890123,B2B,216431435064864.0,Vehicle Service,566.69,28.33,595.02,True,2024-01,Q1,False,True,False,28.33,False,595.02,False,False,CLEAN
GINV-DUB-2024-00116,2024-01-22,Dubai-Al Quoz,100234567890123,B2B,930535579838181.0,Parts Supply,630.09,31.5,661.59,True,2024-01,Q1,False,True,False,31.5,False,661.59,False,False,CLEAN
GINV-DUB-2024-00117,2024-01-22,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,504.97,50.5,555.47,True,2024-01,Q1,False,True,False,25.25,True,530.22,True,False,VAT_RATE_ERROR|TOTAL_MISMATCH
GINV-DUB-2024-00118,2024-01-22,Dubai-Al Quoz,100234567890123,B2B,380894174052587.0,Parts Supply,574.15,28.71,602.86,True,2024-01,Q1,False,True,False,28.71,False,602.86,False,False,CLEAN
GINV-DUB-2024-00119,2024-01-22,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,377.72,18.89,396.61,True,2024-01,Q1,False,True,False,18.89,False,396.61,False,False,CLEAN
GINV-DUB-2024-00120,2024-01-23,Dubai-Al Quoz,100234567890123,B2B,970486546319925.0,Detailing Package,448.06,22.4,470.46,True,2024-01,Q1,False,True,False,22.4,False,470.46,False,False,CLEAN
GINV-DUB-2024-00121,2024-01-23,Dubai-Al Quoz,100234567890123,B2B,274779172341394.0,Fleet Contract,7060.17,282.41,7342.58,True,2024-01,Q1,False,True,False,353.01,True,7413.18,True,False,VAT_RATE_ERROR|TOTAL_MISMATCH
GINV-DUB-2024-00122,2024-01-23,Dubai-Al Quoz,100234567890123,B2B,947128059253070.0,Parts Supply,1072.45,53.62,1126.07,True,2024-01,Q1,False,True,False,53.62,False,1126.07,False,False,CLEAN
GINV-DUB-2024-00123,2024-01-23,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,628.27,31.41,659.68,True,2024-01,Q1,False,True,False,31.41,False,659.68,False,False,CLEAN
GINV-DUB-2024-00124,2024-01-23,Dubai-Al Quoz,100234567890123,B2B,298077430939770.0,Vehicle Service,482.53,24.13,506.66,True,2024-01,Q1,False,True,False,24.13,False,506.66,False,False,CLEAN
GINV-DUB-2024-00125,2024-01-23,Dubai-Al Quoz,100234567890123,B2B,699328683989566.0,Parts Supply,575.51,28.78,608.14,True,2024-01,Q1,False,True,False,28.78,False,604.29,True,False,TOTAL_MISMATCH
GINV-DUB-2024-00126,2024-01-24,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,385.05,19.25,404.3,True,2024-01,Q1,False,True,False,19.25,False,404.3,False,False,CLEAN
GINV-DUB-2024-00127,2024-01-24,Dubai-Al Quoz,100234567890123,B2C,,Vehicle Service,598.48,29.92,628.4,True,2024-01,Q1,False,True,False,29.92,False,628.4,False,False,CLEAN
GINV-DUB-2024-00128,2024-01-24,Dubai-Al Quoz,100234567890123,B2B,423304076661843.0,Detailing Package,266.7,13.34,280.04,True,2024-01,Q1,False,True,False,13.34,False,280.04,False,False,CLEAN
